,,Election,Comm,issio,n,of Ind,ia - Gener,a,"l Elections, 1957 (2nd",LOK,SABHA),,,,
,,,,,,,,,,,,,,,
,,VO,TES,P,O,LL,ED I,,N STATES,BY,PARTI,ES,,,
,,,,,,,,,,,,,,,
,,,,,,,,,SEATS,,,V,OTES %,OF,
,,"STATE/UT,",NO O,F,,,,,CONT-,,SEATS FD,IN P,OLLED V,OTES,
,,CONSTITUEN,CIES,,,PART,Y,,ESTED RETIR,ED,WON SEA,TS BY,PARTY P,OLLED,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1,,,2,,,,3,4,5,6,7,8,
,,,,,,,,,,,,,,,
,A,ndhra Prades,h 35,,(,Single,Member,:,27 Double Memb,er :,8 ),,,,
,,,,,,,,,,,,,,,
,,,,,,BJS,,,1,,0,1,3769,0.04%,
,,,,,,,,,,,,,,,
,,,,,,CPI,,,11,,2,0,1144811,12.01%,
,,,,,,,,,,,,,,,
,,,,,,INC,,,43,,37,0,4906044,51.47%,
,,,,,,,,,,,,,,,
,,,,,,PSP,,,6,,0,0,345418,3.62%,
,,,,,,,,,,,,,,,
,,,,,,PDF,,,8,,2,0,1044032,10.95%,
,,,,,,,,,,,,,,,
,,,,,,PP,,,3,,0,2,140742,1.48%,
,,,,,,,,,,,,,,,
,,,,,,SCF,,,1,,0,0,110757,1.16%,
,,,,,,,,,,,,,,,
,,,,,,IND,,,39,4,2,27,1835800,19.26%,
,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won,",,FD in S,"eats, Valid",,Votes)112,4,43,30,9531373,,
,,,,,,,,,,,,,,,
,,Assa,m 10,,(,Single,Member,:,8 Double Memb,er :,2 ),,,,
,,,,,,,,,,,,,,,
,,,,,,CPI,,,3,,0,0,235044,10.25%,
,,,,,,,,,,,,,,,
,,,,,,INC,,,12,,9,0,1184708,51.68%,
,,,,,,,,,,,,,,,
,,,,,,PSP,,,7,,2,0,457643,19.96%,
,,,,,,,,,,,,,,,
,,,,,,IND,,,9,,1,4,415217,18.11%,
,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won,",,FD in S,"eats, Valid",,Votes) 31,,12,4,2292612,,
,,,,,,,,,,,,,,,
,,Biha,r 45,,(,Single,Member,:,37 Double Memb,er :,8 ),,,,
,,,,,,,,,,,,,,,
,,,,,,BJS,,,2,,0,1,51416,0.51%,
,,,,,,,,,,,,,,,
,,,,,,CPI,,,13,,0,5,502707,5.02%,
,,,,,,,,,,,,,,,
,,,,,,INC,,,51,,41,0,4450208,44.47%,
,,,,,,,,,,,,,,,
,,,,,,PSP,,,40,1,2,12,2165462,21.64%,
,,,,,,,,,,,,,,,
,,,,,,CNSPJP,,,11,2,3,7,501359,5.01%,
,,,,,,,,,,,,,,,
,,,,,,JHP,,,12,,6,4,751830,7.51%,
,,,,,,,,,,,,,,,
,,,,,,IND,,,60,3,1,48,1584894,15.84%,
,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won,",,FD in S,"eats, Valid",,Votes)189,6,53,77,10007876,,
,,,,,,,,,,,,,,,
,,Bomba,y 58,,(,Single,Member,:,50 Double Memb,er :,8 ),,,,
,,,,,,,,,,,,,,,
,,,,,,BJS,,,7,1,2,2,566008,3.38%,
,,,,,,,,,,,,,,,
,,,,,,CPI,,,6,,4,0,1055013,6.29%,
,,,,,,,,,,,,,,,
,,,,,,INC,,,66,,38,1,8156272,48.66%,
,,,,,,,,,,,,,,,
,,,,,,PSP,,,16,1,5,4,1457203,8.69%,
,,,,,,,,,,,,,,,
,,,,,,HMS,,,5,,0,3,97078,0.58%,
,,,,,,,,,,,,,,,
,,,,,,PWP,,,7,,4,0,924832,5.52%,
,,,,,,,,,,,,,,,
,,,,,,RRP,,,2,1,0,3,39671,0.24%,
,,,,,,,,,,,,,,,
,,,,,,SCF,,,9,,5,0,1354475,8.08%,
,,,,,,,,,,,,,,,
,,,,,,IND,,,41,4,8,18,3109733,18.55%,
,,,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats,"Won,",,FD in S,"eats, Valid",,Votes)159,7,66,31,16760285,,
,,,,,,,,,,,,,,,
,,Keral,a 16,,(,Single,Member,:,14 Double Memb,er :,2 ),,,,
,,,,,,,,,,,,,,,
,,,,,,CPI,,,15,,9,0,2267888,37.48%,
,,,,,,,,,,,,,,,
,,,,,,INC,,,17,,6,1,2102883,34.76%,
,,,,,,,,,,,,,,,
ptVotesPo,lledin,States/UTsbyPa,rties -,Page,1,of 4),,,,,,42,,,
GENERA,L ELECTIONS -,"INDIA,",1957,,,,,VOTES,PO,L,LED IN,STATES BY,PA,RTIES,
,,,,,,,,,,,,,,,
,,,,,,,,SEATS,,,,,V,OTES %,OF
,STATE/UT,", NO O",F,,,,,CONT-,,,SEATS,FD IN,P,OLLED V,OTES
,CONSTITU,ENCIES,,,PART,Y,,ESTED RETI,RE,D,WON,SEATS,BY,PARTY P,OLLED
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1,,2,,,,3,4,,5,6,,7,8
,,,,,,,,,,,,,,,
,Ker,ala 16,,(,Single,Member,:,14 Double Memb,er,:,2 ),,,,
,,,,,,,,,,,,,,,
,,,,,PSP,,,8,1,,1,6,,438459,7.25%
,,,,,,,,,,,,,,,
,,,,,RSP,,,3,,,0,1,,308742,5.10%
,,,,,,,,,,,,,,,
,,,,,IND,,,15,1,,2,9,,932274,15.41%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 58,2,,18,17,,6050246,
,,,,,,,,,,,,,,,
,Madhya Prad,esh 27,,(,Single,Member,:,18 Double Memb,er,:,9 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,21,,,0,6,,1062936,13.96%
,,,,,,,,,,,,,,,
,,,,,CPI,,,1,,,0,1,,31424,0.41%
,,,,,,,,,,,,,,,
,,,,,INC,,,36,,,35,0,,3967199,52.10%
,,,,,,,,,,,,,,,
,,,,,PSP,,,22,,,0,6,,1225735,16.10%
,,,,,,,,,,,,,,,
,,,,,HMS,,,7,,,1,2,,373503,4.91%
,,,,,,,,,,,,,,,
,,,,,RRP,,,7,,,0,2,,249083,3.27%
,,,,,,,,,,,,,,,
,,,,,SCF,,,3,,,0,2,,95934,1.26%
,,,,,,,,,,,,,,,
,,,,,IND,,,24,4,,0,23,,608408,7.99%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes)121,4,,36,42,,7614222,
,,,,,,,,,,,,,,,
,Mad,ras 34,,(,Single,Member,:,27 Double Memb,er,:,7 ),,,,
,,,,,,,,,,,,,,,
,,,,,CPI,,,13,,,2,3,,1101338,10.06%
,,,,,,,,,,,,,,,
,,,,,INC,,,41,,,31,0,,5094552,46.52%
,,,,,,,,,,,,,,,
,,,,,PSP,,,7,,,0,2,,399789,3.65%
,,,,,,,,,,,,,,,
,,,,,IND,,,81,12,,8,55,,4355162,39.77%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes)142,12,,41,60,,10950841,
,,,,,,,,,,,,,,,
,Mys,ore 23,,(,Single,Member,:,20 Double Memb,er,:,3 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,5,,,0,4,,143606,2.48%
,,,,,,,,,,,,,,,
,,,,,CPI,,,1,,,0,0,,85373,1.47%
,,,,,,,,,,,,,,,
,,,,,INC,,,26,,,23,0,,3219014,55.52%
,,,,,,,,,,,,,,,
,,,,,PSP,,,12,,,1,0,,1082698,18.67%
,,,,,,,,,,,,,,,
,,,,,SCF,,,1,,,1,0,,115214,1.99%
,,,,,,,,,,,,,,,
,,,,,IND,,,17,2,,1,7,,1152535,19.88%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 62,2,,26,11,,5798440,
,,,,,,,,,,,,,,,
,Orr,isa 14,,(,Single,Member,:,8 Double Memb,er,:,6 ),,,,
,,,,,,,,,,,,,,,
,,,,,CPI,,,5,,,1,2,,214903,4.84%
,,,,,,,,,,,,,,,
,,,,,INC,,,20,,,7,0,,1776767,40.01%
,,,,,,,,,,,,,,,
,,,,,PSP,,,6,,,2,1,,684023,15.40%
,,,,,,,,,,,,,,,
,,,,,GP,,,15,,,7,1,,1291141,29.08%
,,,,,,,,,,,,,,,
,,,,,IND,,,11,,,3,6,,473656,10.67%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 57,,,20,10,,4440490,
,,,,,,,,,,,,,,,
,Pun,jab 17,,(,Single,Member,:,12 Double Memb,er,:,5 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,16,,,0,6,,1152672,16.05%
,,,,,,,,,,,,,,,
,,,,,CPI,,,11,,,1,1,,1207600,16.81%
,,,,,,,,,,,,,,,
,,,,,INC,,,22,,,21,0,,3682219,51.26%
,,,,,,,,,,,,,,,
,,,,,PSP,,,2,1,,0,3,,41285,0.57%
,,,,,,,,,,,,,,,
,,,,,SCF,,,5,1,,0,4,,292345,4.07%
,,,,,,,,,,,,,,,
,,,,,IND,,,22,5,,0,20,,807709,11.24%
,,,,,,,,,,,,,,,
ptVotesPo,lledinStates/UTsby,Parties -,Page,2,of 4),,,,,,,,43,,
GENERA,L ELECTIONS -,"INDIA,",1957,,,,,VOTES,PO,L,LED IN,STATES BY,PA,RTIES,
,,,,,,,,,,,,,,,
,,,,,,,,SEATS,,,,,V,OTES %,OF
,STATE/UT,", NO O",F,,,,,CONT-,,,SEATS,FD IN,P,OLLED V,OTES
,CONSTITU,ENCIES,,,PART,Y,,ESTED RETI,RE,D,WON,SEATS,BY,PARTY P,OLLED
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1,,2,,,,3,4,,5,6,,7,8
,,,,,,,,,,,,,,,
,Pun,jab 17,,(,Single,Member,:,12 Double Memb,er,:,5 ),,,,
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 78,7,,22,34,,7183830,
,,,,,,,,,,,,,,,
,Rajast,han 18,,(,Single,Member,:,14 Double Memb,er,:,4 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,7,1,,0,1,,518355,11.15%
,,,,,,,,,,,,,,,
,,,,,CPI,,,4,,,0,1,,223416,4.81%
,,,,,,,,,,,,,,,
,,,,,INC,,,22,,,19,0,,2494094,53.65%
,,,,,,,,,,,,,,,
,,,,,PSP,,,2,,,0,2,,58916,1.27%
,,,,,,,,,,,,,,,
,,,,,RRP,,,2,1,,0,2,,73946,1.59%
,,,,,,,,,,,,,,,
,,,,,IND,,,23,17,,3,26,,1280356,27.54%
,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won,",,FD in S,"eats, Valid",,Votes) 60,19,,22,32,,4649083,
,,,,,,,,,,,,,,,
,Uttar Prad,esh 68,,(,Single,Member,:,50 Double Memb,er,:,18 ),,,,
,,,,,,,,,,,,,,,
,,,,,BJS,,,61,,,2,30,,3385247,14.79%
,,,,,,,,,,,,,,,
,,,,,CPI,,,8,,,1,1,,383509,1.67%
,,,,,,,,,,,,,,,
,,,,,INC,,,86,,,70,0,,10599639,46.29%
,,,,,,,,,,,,,,,
,,,,,PSP,,,52,,,4,16,,3511157,15.34%
,,,,,,,,,,,,,,,
,,,,,RRP,,,4,,,0,4,,98138,0.43%
,,,,,,,,,,,,,,,
,,,,,IND,,,81,3,,9,37,,4918413,21.48%
,,,,,,,,,,,,,,,
