Election,"Commission of India - General Elections,",1996(11th LOK,SABHA),,,,,,,,
,,,,,,,,,,,
VOTES P,OLLED IN STAT,ES BY,PAR,TIES,,,,,,,
,,,,,,,,,,,
"STATE/UT,",,SEATS,,,VOTES,% OF,,,,,
NUMBER OF P,ARTY PARTY,CONT- SE,ATS F,D IN P,OLLED,VOTES,,,,,
CONSTITUENCIES,TYPE,ESTED W,ON SE,ATS BY,PARTY,POLLED,,,,,
,,,,,,,,,,,
1,2 3,4,5,6,7,8,,,,,
,,,,,,,,,,,
NDHRA PRADESH,42,,,,,,,,,,
,,,,,,,,,,,
,N AIIC(T),25,0,24,161346,0.53%,,,,,
,,,,,,,,,,,
,N BJP,39,0,34,1720850,5.65%,,,,,
,,,,,,,,,,,
,N CPI,3,2,0,728536,2.39%,,,,,
,,,,,,,,,,,
,N CPM,3,1,0,888036,2.91%,,,,,
,,,,,,,,,,,
,N INC,42,22,1,12087596,39.66%,,,,,
,,,,,,,,,,,
,N JP,8,0,8,9965,0.03%,,,,,
,,,,,,,,,,,
,N SAP,2,0,2,12170,0.04%,,,,,
,,,,,,,,,,,
,S BSP,2,0,2,12824,0.04%,,,,,
,,,,,,,,,,,
,S NTRTDP(LP),42,0,36,3249267,10.66%,,,,,
,,,,,,,,,,,
,S SHS,3,0,3,6906,0.02%,,,,,
,,,,,,,,,,,
,S SP,3,0,3,4192,0.01%,,,,,
,,,,,,,,,,,
,S TDP,36,16,2,9931826,32.59%,,,,,
,,,,,,,,,,,
,U ABRRP(P),1,0,1,428,0.00%,,,,,
,,,,,,,,,,,
,U AIMIM,2,1,1,340070,1.12%,,,,,
,,,,,,,,,,,
,U BRP,1,0,1,3584,0.01%,,,,,
,,,,,,,,,,,
,U CPI(ML)(L),2,0,2,8209,0.03%,,,,,
,,,,,,,,,,,
,U HPP,1,0,1,332,0.00%,,,,,
,,,,,,,,,,,
,U IUML,1,0,1,278,0.00%,,,,,
,,,,,,,,,,,
,U LP,3,0,3,8758,0.03%,,,,,
,,,,,,,,,,,
,U MBT,2,0,2,78335,0.26%,,,,,
,,,,,,,,,,,
,U MCPI(S),2,0,2,33900,0.11%,,,,,
,,,,,,,,,,,
,U NIP,1,0,1,19135,0.06%,,,,,
,,,,,,,,,,,
,U PHK,2,0,2,1111,0.00%,,,,,
,,,,,,,,,,,
,U RPI,2,0,2,1185,0.00%,,,,,
,,,,,,,,,,,
,U RPI(KH),1,0,1,1700,0.01%,,,,,
,,,,,,,,,,,
,U SHSP,2,0,2,672,0.00%,,,,,
,,,,,,,,,,,
,U SMP,1,0,1,1591,0.01%,,,,,
,,,,,,,,,,,
,U SYP,5,0,5,3319,0.01%,,,,,
,,,,,,,,,,,
,Z IND,1225,0,1225,1158741,3.80%,,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Se","ats Won, FD in Seats, Valid Votes) :",1462,42,1368,30474862,,,,,,
,,,,,,,,,,,
ACHAL PRADESH,2,,,,,,,,,,
,,,,,,,,,,,
,N BJP,2,0,1,51095,17.41%,,,,,
,,,,,,,,,,,
,N INC,2,0,0,84615,28.83%,,,,,
,,,,,,,,,,,
,Z IND,6,2,4,157738,53.75%,,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Se","ats Won, FD in Seats, Valid Votes) :",10,2,5,293448,,,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
ASSAM 1,4,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),12,0,12,324096,3.44%,,,,
,,,,,,,,,,,
,N,BJP,14,1,9,1500608,15.92%,,,,
,,,,,,,,,,,
,N,CPM,2,1,0,371154,3.94%,,,,
,,,,,,,,,,,
,N,INC,14,5,1,2981700,31.64%,,,,
,,,,,,,,,,,
,N,JD,5,0,5,61525,0.65%,,,,
,,,,,,,,,,,
,S,AGP,11,5,0,2560506,27.17%,,,,
,,,,,,,,,,,
,S,ASDC,1,1,0,180112,1.91%,,,,
,,,,,,,,,,,
,S,ICS,1,0,1,17160,0.18%,,,,
,,,,,,,,,,,
,S,SHS,2,0,2,4524,0.05%,,,,
,,,,,,,,,,,
,S,SP,3,0,3,27020,0.29%,,,,
,,,,,,,,,,,
,U,AMB,1,0,1,505,0.01%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),1,0,1,11122,0.12%,,,,
,,,,,,,,,,,
,U,RCPI(R),1,0,1,1803,0.02%,,,,
,,,,,,,,,,,
,U,UMFA,3,0,2,244571,2.60%,,,,
,,,,,,,,,,,
,U,UTNLF,1,0,1,34803,0.37%,,,,
,,,,,,,,,,,
,Z,IND,65,1,62,1103300,11.71%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",137,14,101,9424509,,,,,
,,,,,,,,,,,
BIHAR 5,4,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),39,0,39,111003,0.32%,,,,
,,,,,,,,,,,
,N,BJP,32,18,1,7029890,20.54%,,,,
,,,,,,,,,,,
,N,CPI,7,3,0,1738016,5.08%,,,,
,,,,,,,,,,,
,N,CPM,3,0,2,288892,0.84%,,,,
,,,,,,,,,,,
,N,INC,54,2,39,4446053,12.99%,,,,
,,,,,,,,,,,
,N,JD,44,22,3,10911044,31.88%,,,,
,,,,,,,,,,,
,N,JP,2,0,2,9704,0.03%,,,,
,,,,,,,,,,,
,N,SAP,20,6,1,4946601,14.45%,,,,
,,,,,,,,,,,
,S,BSP,33,0,33,216100,0.63%,,,,
,,,,,,,,,,,
,S,FBL,1,0,1,108,0.00%,,,,
,,,,,,,,,,,
,S,JMM,18,1,14,898505,2.63%,,,,
,,,,,,,,,,,
,S,SHS,14,0,14,13020,0.04%,,,,
,,,,,,,,,,,
,S,SP,3,1,2,459918,1.34%,,,,
,,,,,,,,,,,
,U,ABDBM,2,0,2,2295,0.01%,,,,
,,,,,,,,,,,
,U,ABJS,2,0,2,2847,0.01%,,,,
,,,,,,,,,,,
,U,ABJVP,1,0,1,1077,0.00%,,,,
,,,,,,,,,,,
,U,ABLTASJM,1,0,1,1111,0.00%,,,,
,,,,,,,,,,,
,U,AMB,2,0,2,4994,0.01%,,,,
,,,,,,,,,,,
,U,BKUS,6,0,6,10873,0.03%,,,,
,,,,,,,,,,,
,U,BLPY,1,0,1,3616,0.01%,,,,
,,,,,,,,,,,
,U,BPI,1,0,1,274,0.00%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),21,0,19,721619,2.11%,,,,
,,,,,,,,,,,
,U,IUML,1,0,1,213,0.00%,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
BIHAR,54,,,,,,,,,,
,,,,,,,,,,,
,U,JKP,6,0,6,74247,0.22%,,,,
,,,,,,,,,,,
,U,JKP(N),2,0,2,3007,0.01%,,,,
,,,,,,,,,,,
,U,JKPP,5,0,5,58132,0.17%,,,,
,,,,,,,,,,,
,U,JMM(M),6,0,6,294997,0.86%,,,,
,,,,,,,,,,,
,U,MCO,1,0,1,114406,0.33%,,,,
,,,,,,,,,,,
,U,PHK,3,0,3,6904,0.02%,,,,
,,,,,,,,,,,
,U,PSSS,7,0,7,6079,0.02%,,,,
,,,,,,,,,,,
,U,RAM,1,0,1,1895,0.01%,,,,
,,,,,,,,,,,
,U,RMEP,1,0,1,745,0.00%,,,,
,,,,,,,,,,,
,U,SSD,4,0,4,4845,0.01%,,,,
,,,,,,,,,,,
,U,VJP,1,0,1,3328,0.01%,,,,
,,,,,,,,,,,
,Z,IND,1103,1,1101,1834924,5.36%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",1448,54,1325,34221282,,,,,
,,,,,,,,,,,
GOA,2,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,2,0,1,66379,13.75%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,4417,0.92%,,,,
,,,,,,,,,,,
,N,INC,2,0,0,165857,34.37%,,,,
,,,,,,,,,,,
,S,MAG,2,1,1,129220,26.77%,,,,
,,,,,,,,,,,
,S,SP,1,0,1,371,0.08%,,,,
,,,,,,,,,,,
,S,UGDP,1,1,0,109346,22.66%,,,,
,,,,,,,,,,,
,Z,IND,21,0,21,7041,1.46%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",30,2,25,482631,,,,,
,,,,,,,,,,,
GUJARAT,26,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),19,0,19,187739,1.88%,,,,
,,,,,,,,,,,
,N,BJP,26,16,0,4854432,48.52%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,9481,0.09%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,2318,0.02%,,,,
,,,,,,,,,,,
,N,INC,26,10,0,3870497,38.69%,,,,
,,,,,,,,,,,
,N,JD,15,0,15,42176,0.42%,,,,
,,,,,,,,,,,
,N,SAP,10,0,10,9111,0.09%,,,,
,,,,,,,,,,,
,S,BSP,17,0,17,38293,0.38%,,,,
,,,,,,,,,,,
,S,ICS,1,0,1,675,0.01%,,,,
,,,,,,,,,,,
,S,SHS,9,0,9,23889,0.24%,,,,
,,,,,,,,,,,
,S,SP,11,0,11,22481,0.22%,,,,
,,,,,,,,,,,
,U,ABJS,6,0,6,8534,0.09%,,,,
,,,,,,,,,,,
,U,BHJS,1,0,1,1627,0.02%,,,,
,,,,,,,,,,,
,U,BMSM,1,0,1,600,0.01%,,,,
,,,,,,,,,,,
,U,GAVP,4,0,3,166003,1.66%,,,,
,,,,,,,,,,,
,U,GJJP,1,0,1,266,0.00%,,,,
,,,,,,,,,,,
,U,MSS,1,0,1,434,0.00%,,,,
,,,,,,,,,,,
,U,RPI,8,0,8,9125,0.09%,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
GUJARAT,26,,,,,,,,,,
,,,,,,,,,,,
,U,RSRP,3,0,3,6000,0.06%,,,,
,,,,,,,,,,,
,U,SLI,1,0,1,384,0.00%,,,,
,,,,,,,,,,,
,U,SMP,1,0,1,1561,0.02%,,,,
,,,,,,,,,,,
,Z,IND,414,0,412,748443,7.48%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",577,26,522,10004069,,,,,
,,,,,,,,,,,
HARYANA,10,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),8,0,8,171005,2.25%,,,,
,,,,,,,,,,,
,N,BJP,6,4,0,1502723,19.74%,,,,
,,,,,,,,,,,
