State Name,Winning party,vote %
NDHRA PRADESH42,Z,58.75
ACHAL PRADESH2,N,64.98
ASSAM14,N,49.54
BIHAR54,N,70.35
OA DAMAN & DIU2,N,29.13
GUJARAT26,N,57.9
HARYANA10,N,47.02
ACHAL PRADESH4,Z,64.08
MMU & KASHMIR6,N,51.77
KARNATAKA28,N,65.21
KERALA20,N,68.07
ADHYA PRADESH40,N,29.37
MAHARASHTRA48,N,66.13
MANIPUR2,N,68.15
MEGHALAYA2,S,53.32
MIZORAM1,0,0.0
NAGALAND1,0,0.0
ORISSA21,0,0.0
PUNJAB13,0,0.0
RAJASTHAN25,0,0.0
TAMIL NADU39,0,0.0
TRIPURA2,0,0.0
UTTAR PRADESH85,0,0.0
WEST BENGAL42,0,0.0
WEST BENGAL42,0,0.0
ISLANDS,0,0.0
CHANDIGARH1,0,0.0
& NAGAR HAVELI1,0,0.0
RITORY OF DELHI,0,0.0
LAKSHADWEEP1,0,0.0
PONDICHERRY1,0,0.0
