Year,State,Winning Party,Vote %,Seats Won by Majority Party,Total Seats
2004,Andhra Pradesh,UPA,48.93,34,42
2004,Arunachal Pradesh,BJP,53.85,2,2
2004,Assam,Congress,35.07,9,14
2004,Bihar,UPA,44.33,29,40
2004,Goa,BJP,46.83,1,2
2004,Gujarat,BJP,47.37,14,26
2004,Haryana,Congress,42.13,9,10
2004,Himachal Pradesh,Congress,51.89,3,4
2004,Jammu and Kashmir,UPA,39.77,3,6
2004,Karnataka,Congress,36.82,8,28
2004,Kerala,LDF,46.15,18,20
2004,Madhya Pradesh,BJP,48.13,25,29
2004,Maharashtra,UPA,44.84,23,48
2004,Manipur,UPA,25.25,1,2
2004,Meghalaya,Congress,45.55,1,2
2004,Mizoram,MNF,52.46,1,1
2004,Nagaland,NPF,73.12,1,1
2004,Odisha,NDA,49.32,18,21
2004,Punjab,NDA,44.76,11,13
2004,Rajasthan,BJP,49.01,21,25
2004,Sikkim,SDF,69.84,1,1
2004,Tamil Nadu,UPA,57.4,39,39
2004,Tripura,Congress,14.28,0,2
2004,Uttar Pradesh,SP+,31.23,38,80
2004,West Bengal,Left,50.72,35,42
2004,Andaman and Nicobar Island,Congress,55.77,1,1
2004,Chandigarh,Congress,52.06,1,1
2004,Dadra and Nagar Havelli,BNP,40.93,1,1
2004,Daman and Diu,Congress,49.51,1,1
2004,Delhi,Congress,54.81,6,7
2004,Lakshdweep,Congress,48.79,0,1
2004,Puducherry,PMK,49.95,1,1
2004,Jharkhand,UPA,41.49,13,14
2004,Chhattisgarh,BJP,47.78,10,11
2004,Uttarakhand,BJP,40.98,3,5
