Year,State,Winning Party,Vote %,Seats Won by Majority Party,Total Seats
2019,Andhra Pradesh,YSRC,49.15,22,25
2019,Arunachal Pradesh,BJP,58.25,2,2
2019,Assam,NDA,46.76,9,14
2019,Bihar,NDA,53.25,39,40
2019,Goa,BJP,51.18,1,2
2019,Gujarat,BJP,62.21,26,26
2019,Haryana,BJP,58.02,10,10
2019,Himachal Pradesh,BJP,69.11,4,4
2019,Jammu and Kashmir,BJP,46.39,3,6
2019,Karnataka,NDA,53.38,26,6
2019,Kerala,UDF,47.24,19,6
2019,Madhya Pradesh,BJP,58.0,28,29
2019,Maharashtra,NDA,50.88,41,48
2019,Manipur,BJP,34.22,1,2
2019,Meghalaya,INC,48.28,1,2
2019,Mizoram,MNF,44.89,1,1
2019,Nagaland,NDA,49.73,1,1
2019,Odisha,BJD,42.76,12,1
2019,Punjab,INC,40.12,8,13
2019,Rajasthan,NDA,60.5,25,25
2019,Sikkim,SKM,47.46,1,1
2019,Tamil Nadu,UPA,52.65,37,38
2019,Tripura,BJP,49.03,2,2
2019,Uttar Pradesh,NDA,50.76,64,80
2019,West Bengal,AITC,43.28,22,42
2019,Andaman and Nicobar Island,INC,45.98,1,1
2019,Chandigarh,BJP,50.64,1,1
2019,Dadra and Nagar Havelli,Independents,48.98,1,1
2019,Daman and Diu,BJP,42.98,1,1
2019,Delhi,BJP,56.56,7,7
2019,Lakshadweep,NCP,48.61,1,1
2019,Puducherry,INC,56.27,1,1
2019,Jharkhand,NDA,55.29,12,14
2019,Chhattisgarh,BJP,50.7,9,11
2019,Uttarakhand,BJP,61.01,5,5
2019,Telangana,TRS,41.29,9,17
