Year,State,Winning Party,Vote %,Seats Won by Majority Party,Total Seats
2014,Andhra Pradesh,NDA,47.71,17,25
2014,Arunachal Pradesh,BJP,46.12,1,2
2014,Assam,BJP,36.51,7,14
2014,Bihar,NDA,38.77,31,40
2014,Goa,BJP,53.45,2,2
2014,Gujarat,BJP,59.05,26,26
2014,Haryana,NDA,40.86,7,10
2014,Himachal Pradesh,BJP,53.35,4,4
2014,Jammu and Kashmir,UPA,33.98,0,6
2014,Karnataka,BJP,43.01,17,28
2014,Kerala,UDF,41.98,12,20
2014,Madhya Pradesh,BJP,54.03,27,29
2014,Maharashtra,NDA,51.3,42,48
2014,Manipur,Congress,41.69,2,2
2014,Meghalaya,Congress,37.93,1,2
2014,Mizoram,Congress,48.59,1,1
2014,Nagaland,NDA,68.67,1,1
2014,Odisha,BJD,44.08,20,21
2014,Punjab,NDA,35.0,6,13
2014,Rajasthan,BJP,54.94,25,25
2014,Sikkim,SDF,52.98,1,1
2014,Tamil Nadu,AIADMK,44.27,37,39
2014,Tripura,CPM,64.01,2,2
2014,Uttar Pradesh,NDA,43.32,73,80
2014,West Bengal,Trinamool Congress,39.35,34,42
2014,Andaman and Nicobar Island,BJP,47.8,1,1
2014,Chandigarh,BJP,42.2,1,1
2014,Dadra and Nagar Havelli,BJP,48.88,1,1
2014,Daman and Diu,BJP,53.83,1,1
2014,Delhi,BJP,46.41,7,7
2014,Lakshadweep,NCP,50.11,1,1
2014,Puducherry,NDA,34.57,1,1
2014,Jharkhand,BJP,40.11,12,14
2014,Chhattisgarh,BJP,48.74,10,11
2014,Uttarakhand,BJP,55.32,5,5
2014,Telangana,TRS,34.67,11,17
