,,Election Co,mmission,,of India -,General E,"lections, 1951 (",1st,LOK S,ABH,A),,,,,
,,,,,,,,,,,,,,,,
,,VOTE,S PO,,LLE,D IN,STATE,S,BY,PA,R,TIES,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEATS,,,,V,OTES %,OF,,,
,,"STATE/UT, NO",OF,,,,CONT- SEA,TS,FD,IN,P,OLLED V,OTES,,,
,,CONSTITUENC,IES,P,ARTY,,ESTED WO,N,SEA,TS,BY,PARTY P,OLLED,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,,2,,3 4,,,5,,6,7,,,
,,,,,,,,,,,,,,,,
,,Assam,10,(,Single M,ember :,8 Double M,e,mber :,2,),,,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,2,0,,1,,96303,3.64%,,,
,,,,,,,,,,,,,,,,
,,,,,INC,,11,11,,0,,1210707,45.74%,,,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,6,0,,2,,265687,10.04%,,,
,,,,,,,,,,,,,,,,
,,,,,SP,,8,1,,1,,506943,19.15%,,,
,,,,,,,,,,,,,,,,
,,,,,APP,,1,0,,0,,36851,1.39%,,,
,,,,,,,,,,,,,,,,
,,,,,HPP,,1,0,,1,,17350,0.66%,,,
,,,,,,,,,,,,,,,,
,,,,,KJD,,1,0,,0,,32987,1.25%,,,
,,,,,,,,,,,,,,,,
,,,,,TS,,1,0,,0,,116629,4.41%,,,
,,,,,,,,,,,,,,,,
,,,,,IND,,9,0,,6,,363670,13.74%,,,
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants, Seat","s Won, F",D,"in Seats,",Valid Vot,es) 40,12,,11,,2647127,,,,
,,,,,,,,,,,,,,,,
,,Bihar,44,(,Single M,ember :,33 Double M,e,mber :,11,),,,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,2,0,,2,,39939,0.40%,,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,2,0,,1,,39272,0.39%,,,
,,,,,,,,,,,,,,,,
,,,,,FBL(MG),,6,0,,5,,133320,1.33%,,,
,,,,,,,,,,,,,,,,
,,,,,HMS,,1,0,,1,,19225,0.19%,,,
,,,,,,,,,,,,,,,,
,,,,,INC,,54,45,,0,,4573058,45.77%,,,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,15,0,,11,,318760,3.19%,,,
,,,,,,,,,,,,,,,,
,,,,,RRP,,3,0,,3,,80161,0.80%,,,
,,,,,,,,,,,,,,,,
,,,,,SP,,47,3,,9,,2126066,21.28%,,,
,,,,,,,,,,,,,,,,
,,,,,CNSPJP,,6,1,,2,,236094,2.36%,,,
,,,,,,,,,,,,,,,,
,,,,,JHP,,7,3,,0,,749702,7.50%,,,
,,,,,,,,,,,,,,,,
,,,,,LSS,,4,2,,0,,309940,3.10%,,,
,,,,,,,,,,,,,,,,
,,,,,UKS,,2,0,,0,,60254,0.60%,,,
,,,,,,,,,,,,,,,,
,,,,,IND,,49,1,,33,,1306660,13.08%,,,
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants, Seat","s Won, F",D,"in Seats,",Valid Vot,es) 198,55,,67,,9992451,,,,
,,,,,,,,,,,,,,,,
,,Bombay,37,(,Single M,ember :,29 Double M,e,mber :,8,),,,,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,3,0,,1,,154073,1.34%,,,
,,,,,,,,,,,,,,,,
,,,,,FBL(MG),,2,0,,1,,70266,0.61%,,,
,,,,,,,,,,,,,,,,
,,,,,INC,,44,40,,0,,5781277,50.15%,,,
,,,,,,,,,,,,,,,,
,,,,,KLP,,3,0,,2,,164569,1.43%,,,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,10,0,,3,,639788,5.55%,,,
,,,,,,,,,,,,,,,,
,,,,,RRP,,6,0,,5,,201486,1.75%,,,
,,,,,,,,,,,,,,,,
,,,,,SCF,,4,1,,0,,511028,4.43%,,,
,,,,,,,,,,,,,,,,
,,,,,SP,,25,0,,5,,1682494,14.59%,,,
,,,,,,,,,,,,,,,,
,,,,,KKP,,3,0,,1,,132574,1.15%,,,
,,,,,,,,,,,,,,,,
,,,,,NAT,,1,0,,1,,3232,0.03%,,,
,,,,,,,,,,,,,,,,
,,,,,PWP,,11,1,,2,,807019,7.00%,,,
,,,,,,,,,,,,,,,,
,,,,,IND,,36,3,,24,,1380484,11.97%,,,
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants, Seat","s Won, F",D,"in Seats,",Valid Vot,es) 148,45,,45,,11528290,,,,
,,,,,,,,,,,,,,,,
ptVotesPo,lledin,States/UTsbyParties,- Page 1,o,f 7),,,,,,,61,,,,
GENERA,L ELECTION,S - INDIA,", 1951",,,,,VOT,ES POL,LED IN,,S,TATES BY PA,RTIES,,
,,,,,,,,,,,,,,,,
,,,,,,,,SEATS,,,,V,OTES %,OF,,
,STAT,"E/UT, NO",OF,,,,,CONT- SEA,TS FD,IN,,P,OLLED V,OTES,,
,CONS,TITUENC,IES,P,ARTY,,,ESTED WO,N SE,ATS,,BY,PARTY P,OLLED,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,,2,,,3 4,,5,,,6,7,,
,,,,,,,,,,,,,,,,
,Madhya,Pradesh,23,(,Single Me,mber,:,17 Double M,ember :,6,),,,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,,8,0,3,,,355356,4.94%,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,1,0,1,,,29422,0.41%,,
,,,,,,,,,,,,,,,,
,,,,,FBL(RG),,,3,0,3,,,34137,0.47%,,
,,,,,,,,,,,,,,,,
,,,,,HMS,,,1,0,1,,,22285,0.31%,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,29,27,0,,,3713537,51.63%,,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,,9,0,2,,,451749,6.28%,,
,,,,,,,,,,,,,,,,
,,,,,RRP,,,9,0,4,,,396661,5.51%,,
,,,,,,,,,,,,,,,,
,,,,,SCF,,,3,0,1,,,316302,4.40%,,
,,,,,,,,,,,,,,,,
,,,,,SP,,,20,0,11,,,877392,12.20%,,
,,,,,,,,,,,,,,,,
,,,,,SKP,,,3,0,2,,,137343,1.91%,,
,,,,,,,,,,,,,,,,
,,,,,IND,,,23,2,15,,,858407,11.93%,,
,,,,,,,,,,,,,,,,
State/UT,total (Contest,"ants, Seat","s Won, F",D,"in Seats,",Valid,Vot,es) 109,29,43,,,7192591,,,
,,,,,,,,,,,,,,,,
,,Madras,62,(,Single Me,mber,:,49 Double M,ember :,13,),,,,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,16,8,0,,,1783407,8.95%,,
,,,,,,,,,,,,,,,,
,,,,,FBL(MG),,,5,1,2,,,332196,1.67%,,
,,,,,,,,,,,,,,,,
,,,,,FBL(RG),,,1,0,1,,,18061,0.09%,,
,,,,,,,,,,,,,,,,
,,,,,HMS,,,2,0,2,,,15558,0.08%,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,74,35,1,,,7253452,36.39%,,
,,,,,,,,,,,,,,,,
,,,,,KLP,,,19,0,10,,,968416,4.86%,,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,,31,6,12,,,1952197,9.79%,,
,,,,,,,,,,,,,,,,
,,,,,RRP,,,2,0,2,,,15403,0.08%,,
,,,,,,,,,,,,,,,,
,,,,,SCF,,,9,0,5,,,524138,2.63%,,
,,,,,,,,,,,,,,,,
,,,,,SP,,,20,2,11,,,1055423,5.29%,,
,,,,,,,,,,,,,,,,
,,,,,CWL,,,3,3,0,,,325398,1.63%,,
,,,,,,,,,,,,,,,,
,,,,,JUSP,,,1,0,0,,,63254,0.32%,,
,,,,,,,,,,,,,,,,
,,,,,ML,,,1,1,0,,,79470,0.40%,,
,,,,,,,,,,,,,,,,
,,,,,REP,,,2,0,1,,,44286,0.22%,,
,,,,,,,,,,,,,,,,
,,,,,TNT,,,7,4,2,,,889292,4.46%,,
,,,,,,,,,,,,,,,,
,,,,,IND,,,100,15,57,,,4614210,23.15%,,
,,,,,,,,,,,,,,,,
State/UT,total (Contest,"ants, Seat","s Won, F",D,"in Seats,",Valid,Vot,es) 293,75,106,,,19934161,,,
,,,,,,,,,,,,,,,,
,,Orissa,16,(,Single Me,mber,:,12 Double M,ember :,4,),,,,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,4,1,0,,,211303,5.77%,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,18,11,0,,,1555787,42.51%,,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,,2,0,1,,,52654,1.44%,,
,,,,,,,,,,,,,,,,
,,,,,SP,,,10,1,2,,,563462,15.40%,,
,,,,,,,,,,,,,,,,
,,,,,GP,,,12,6,2,,,959749,26.23%,,
,,,,,,,,,,,,,,,,
,,,,,IND,,,12,1,5,,,316538,8.65%,,
,,,,,,,,,,,,,,,,
State/UT,total (Contest,"ants, Seat","s Won, F",D,"in Seats,",Valid,Vot,es) 58,20,10,,,3659493,,,
,,,,,,,,,,,,,,,,
,,Punjab,15,(,Single Me,mber,:,12 Double M,ember :,3,),,,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,,9,0,7,,,279639,5.60%,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,4,0,1,,,251623,5.04%,,
,,,,,,,,,,,,,,,,
,,,,,FBL(MG),,,2,0,2,,,51962,1.04%,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,18,16,0,,,2134586,42.76%,,
,,,,,,,,,,,,,,,,
ptVotesPo,lledinStates/UT,sbyParties,- Page 2,o,f 7),,,,,,,,62,,,
GENERA,L EL,ECTIONS - INDIA,", 1951",,,,,VOT,ES POL,LED IN,,S,TATES BY PA,RTIES,,
,,,,,,,,,,,,,,,,
,,,,,,,,SEATS,,,,V,OTES %,OF,,
,,"STATE/UT, NO",OF,,,,,CONT- SEA,TS FD,IN,,P,OLLED V,OTES,,
,,CONSTITUENC,IES,P,ARTY,,,ESTED WO,N SE,ATS,,BY,PARTY P,OLLED,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,,2,,,3 4,,5,,,6,7,,
,,,,,,,,,,,,,,,,
,,Punjab,15,(,Single Me,mber,:,12 Double M,ember :,3,),,,,,
,,,,,,,,,,,,,,,,
,,,,,RRP,,,3,0,2,,,124306,2.49%,,
,,,,,,,,,,,,,,,,
,,,,,SCF,,,2,0,0,,,239064,4.79%,,
,,,,,,,,,,,,,,,,
,,,,,SP,,,4,0,4,,,107713,2.16%,,
,,,,,,,,,,,,,,,,
,,,,,DCL,,,1,0,1,,,11789,0.24%,,
,,,,,,,,,,,,,,,,
,,,,,SAD,,,8,2,3,,,569973,11.42%,,
,,,,,,,,,,,,,,,,
,,,,,ZP,,,5,0,3,,,291300,5.83%,,
,,,,,,,,,,,,,,,,
,,,,,IND,,,45,0,39,,,930383,18.64%,,
,,,,,,,,,,,,,,,,
State/UT,total,"(Contestants, Seat","s Won, F",D,"in Seats,",Valid,Vot,es) 101,18,62,,,4992338,,,
,,,,,,,,,,,,,,,,
,,Uttar Pradesh,69,(,Single Me,mber,:,52 Double M,ember :,17,),,,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,,41,0,23,,,1244099,7.29%,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,2,0,1,,,59699,0.35%,,
,,,,,,,,,,,,,,,,
,,,,,HMS,,,12,1,7,,,325601,1.91%,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,86,81,0,,,9047392,52.99%,,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,,37,0,30,,,836129,4.90%,,
,,,,,,,,,,,,,,,,
