El,ection,Commission of,India - Gen,eral Elections,", 1962 (3rd",LOK SAB,HA),,,,
,,,,,,,,,,,
VOTES PO,LL,ED IN S,TAT,ES BY,PART,IES,,,,,
,,,,,,,,,,,
"STATE/UT,",,,,SEATS,,,VOTES %,OF,,,
NUMBER OF,,PARTY,,CONT- SE,ATS FD,IN P,OLLED VO,TES,,,
CONSTITUENCIES,,,,ESTED W,ON SEA,TS BY,PARTY POL,LED,,,
,,,,,,,,,,,
1,,2,,3,4 5,,6,7,,,
,,,,,,,,,,,
Andhra Pradesh,43,,,,,,,,,,
,,,,,,,,,,,
,,CPI,,20,7,0,2505619,21.04%,,,
,,,,,,,,,,,
,,INC,,43,34,0,5711263,47.96%,,,
,,,,,,,,,,,
,,JS,,8,0,8,139049,1.17%,,,
,,,,,,,,,,,
,,PSP,,1,0,1,8287,0.07%,,,
,,,,,,,,,,,
,,SWA,,28,1,11,1775495,14.91%,,,
,,,,,,,,,,,
,,REP,,3,0,3,114872,0.96%,,,
,,,,,,,,,,,
,,IND,,44,1,28,1653436,13.89%,,,
,,,,,,,,,,,
"State/UT total (Contestants, Se",ats Wo,"n, FD in Seats,",Valid Vote,s) : 147,43,51,11908021,,,,
,,,,,,,,,,,
Assam,12,,,,,,,,,,
,,,,,,,,,,,
,,CPI,,4,0,1,176098,7.06%,,,
,,,,,,,,,,,
,,INC,,12,9,0,1126977,45.16%,,,
,,,,,,,,,,,
,,PSP,,8,2,2,478099,19.16%,,,
,,,,,,,,,,,
,,SOC,,2,0,1,72006,2.89%,,,
,,,,,,,,,,,
,,HLC,,1,1,0,91850,3.68%,,,
,,,,,,,,,,,
,,RCP,,1,0,1,33488,1.34%,,,
,,,,,,,,,,,
,,IND,,13,0,7,516793,20.71%,,,
,,,,,,,,,,,
"State/UT total (Contestants, Se",ats Wo,"n, FD in Seats,",Valid Vote,s) : 41,12,12,2495311,,,,
,,,,,,,,,,,
Bihar,53,,,,,,,,,,
,,,,,,,,,,,
,,CPI,,16,1,6,634516,6.38%,,,
,,,,,,,,,,,
,,INC,,53,39,0,4365148,43.89%,,,
,,,,,,,,,,,
,,JS,,13,0,11,233151,2.34%,,,
,,,,,,,,,,,
,,PSP,,32,2,15,1262106,12.69%,,,
,,,,,,,,,,,
,,SOC,,24,1,19,608284,6.12%,,,
,,,,,,,,,,,
,,SWA,,43,7,17,1811170,18.21%,,,
,,,,,,,,,,,
,,HMS,,3,0,3,24109,0.24%,,,
,,,,,,,,,,,
,,JP,,11,3,3,467338,4.70%,,,
,,,,,,,,,,,
,,RRP,,3,0,3,19767,0.20%,,,
,,,,,,,,,,,
,,RCP,,1,0,1,27325,0.27%,,,
,,,,,,,,,,,
,,IND,,34,0,30,493330,4.96%,,,
,,,,,,,,,,,
"State/UT total (Contestants, Se",ats Wo,"n, FD in Seats,",Valid Vote,s) : 233,53,108,9946244,,,,
,,,,,,,,,,,
Gujrat,22,,,,,,,,,,
,,,,,,,,,,,
,,INC,,22,16,0,2776327,52.56%,,,
,,,,,,,,,,,
,,JS,,5,0,5,76033,1.44%,,,
,,,,,,,,,,,
,,PSP,,6,1,3,374813,7.10%,,,
,,,,,,,,,,,
,,SOC,,1,0,1,2581,0.05%,,,
,,,,,,,,,,,
,,SWA,,14,4,1,1320405,25.00%,,,
,,,,,,,,,,,
(rptVotesPolledinStates/UTsbyParties - Page 1,of 5),,,,,7,1,,,,
ELECTI,ONS -,"INDIA, 1962",,,,,VOT,ES POLLE,D IN STA,TES BY PAR,TIES
,,,,,,,,,,,
,STAT,"E/UT,",,,,,SEATS,,V,OTES %,OF
N,UMB,ER OF,,PARTY,,,CONT- SE,ATS FD,IN PO,LLED VO,TES
CONSTI,TUE,NCIES,,,,,ESTED W,ON SEA,TS BY P,ARTY POL,LED
,,,,,,,,,,,
,1,,,2,,,3,4 5,6,,7
,,,,,,,,,,,
,,Gujrat,22,,,,,,,,
,,,,,,,,,,,
,,,,HMS,,,2,0,2,20259,0.38%
,,,,,,,,,,,
,,,,REP,,,1,0,0,47308,0.90%
,,,,,,,,,,,
,,,,NJP,,,3,1,1,195812,3.71%
,,,,,,,,,,,
,,,,IND,,,14,0,8,469020,8.88%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 68,22,21,5282558,
,,,,,,,,,,,
,,Kerla,18,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,14,6,0,1960683,35.46%
,,,,,,,,,,,
,,,,INC,,,14,6,0,1895226,34.28%
,,,,,,,,,,,
,,,,JS,,,4,0,4,37485,0.68%
,,,,,,,,,,,
,,,,PSP,,,4,0,0,546621,9.89%
,,,,,,,,,,,
,,,,SWA,,,1,0,1,9675,0.17%
,,,,,,,,,,,
,,,,ML,,,3,2,0,248038,4.49%
,,,,,,,,,,,
,,,,RSP,,,1,1,0,199377,3.61%
,,,,,,,,,,,
,,,,IND,,,9,3,6,631878,11.43%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 50,18,11,5528983,
,,,,,,,,,,,
Mad,hya P,radesh,36,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,3,0,3,60196,0.90%
,,,,,,,,,,,
,,,,INC,,,35,24,1,2651882,39.55%
,,,,,,,,,,,
,,,,JS,,,28,3,13,1197957,17.87%
,,,,,,,,,,,
,,,,PSP,,,19,3,6,824703,12.30%
,,,,,,,,,,,
,,,,SOC,,,14,1,10,354595,5.29%
,,,,,,,,,,,
,,,,SWA,,,5,0,5,48864,0.73%
,,,,,,,,,,,
,,,,FB,,,1,0,0,35421,0.53%
,,,,,,,,,,,
,,,,HMS,,,7,0,4,254779,3.80%
,,,,,,,,,,,
,,,,REP,,,7,0,7,123117,1.84%
,,,,,,,,,,,
,,,,RRP,,,14,1,9,324083,4.83%
,,,,,,,,,,,
,,,,IND,,,26,4,15,828820,12.36%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 159,36,73,6704417,
,,,,,,,,,,,
,,Madras,41,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,14,2,1,1272313,10.24%
,,,,,,,,,,,
,,,,INC,,,41,31,0,5623013,45.26%
,,,,,,,,,,,
,,,,JS,,,1,0,1,4581,0.04%
,,,,,,,,,,,
,,,,PSP,,,5,0,4,209101,1.68%
,,,,,,,,,,,
,,,,SOC,,,2,0,2,45097,0.36%
,,,,,,,,,,,
,,,,SWA,,,16,0,2,1300526,10.47%
,,,,,,,,,,,
,,,,DMK,,,18,7,1,2315610,18.64%
,,,,,,,,,,,
,,,,FB,,,1,1,0,175772,1.41%
,,,,,,,,,,,
,,,,ML,,,2,0,1,169723,1.37%
,,,,,,,,,,,
,,,,REP,,,2,0,0,191162,1.54%
,,,,,,,,,,,
,,,,SL,,,1,0,0,80227,0.65%
,,,,,,,,,,,
ledinState,s/UTs,byParties - Page 2,of 5),,,,,,72,,
ELECTI,ONS -,"INDIA, 1962",,,,,VOT,ES POLLE,D IN STA,TES BY PAR,TIES
,,,,,,,,,,,
,STAT,"E/UT,",,,,,SEATS,,,VOTES %,OF
N,UMB,ER OF,,PARTY,,,CONT- SE,ATS FD,IN P,OLLED VO,TES
CONSTI,TUE,NCIES,,,,,ESTED W,ON SEA,TS BY,PARTY POL,LED
,,,,,,,,,,,
,1,,,2,,,3,4 5,,6,7
,,,,,,,,,,,
,,Madras,41,,,,,,,,
,,,,,,,,,,,
,,,,TNP,,,2,0,1,92389,0.74%
,,,,,,,,,,,
,,,,WT,,,1,0,1,11372,0.09%
,,,,,,,,,,,
,,,,IND,,,46,0,42,933150,7.51%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 152,41,56,12424036,
,,,,,,,,,,,
,Maha,rashtra,44,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,6,0,0,451152,4.05%
,,,,,,,,,,,
,,,,INC,,,44,41,0,5895958,52.89%
,,,,,,,,,,,
,,,,JS,,,17,0,13,490627,4.40%
,,,,,,,,,,,
,,,,PSP,,,13,1,5,597666,5.36%
,,,,,,,,,,,
,,,,SWA,,,3,0,3,31036,0.28%
,,,,,,,,,,,
,,,,HMS,,,3,0,2,82649,0.74%
,,,,,,,,,,,
,,,,PWP,,,10,0,1,703582,6.31%
,,,,,,,,,,,
,,,,REP,,,20,0,4,1299940,11.66%
,,,,,,,,,,,
,,,,RRP,,,2,0,2,8990,0.08%
,,,,,,,,,,,
,,,,IND,,,50,2,39,1587015,14.24%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 168,44,69,11148615,
,,,,,,,,,,,
,,Mysore,26,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,3,0,2,98668,1.54%
,,,,,,,,,,,
,,,,INC,,,26,25,0,3381276,52.67%
,,,,,,,,,,,
,,,,JS,,,7,0,6,171929,2.68%
,,,,,,,,,,,
,,,,PSP,,,12,0,2,930061,14.49%
,,,,,,,,,,,
,,,,SWA,,,7,0,1,501212,7.81%
,,,,,,,,,,,
,,,,REP,,,4,0,1,247461,3.86%
,,,,,,,,,,,
,,,,LSS,,,3,1,1,213460,3.33%
,,,,,,,,,,,
,,,,IND,,,26,0,20,875075,13.63%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 88,26,33,6419142,
,,,,,,,,,,,
,,Orrisa,20,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,2,0,0,100577,5.11%
,,,,,,,,,,,
,,,,INC,,,20,14,0,1093297,55.53%
,,,,,,,,,,,
,,,,PSP,,,5,1,0,305116,15.50%
,,,,,,,,,,,
,,,,SOC,,,3,1,2,52633,2.67%
,,,,,,,,,,,
,,,,SWA,,,1,0,0,22743,1.16%
,,,,,,,,,,,
,,,,GP,,,10,4,0,342970,17.42%
,,,,,,,,,,,
,,,,IND,,,8,0,8,51629,2.62%
,,,,,,,,,,,
State/UT,total,"(Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 49,20,10,1968965,
,,,,,,,,,,,
,,Punjab,22,,,,,,,,
,,,,,,,,,,,
,,,,CPI,,,4,0,0,320588,4.72%
,,,,,,,,,,,
,,,,INC,,,22,14,0,2802692,41.30%
,,,,,,,,,,,
,,,,JS,,,17,3,10,1029831,15.18%
,,,,,,,,,,,
,,,,SOC,,,1,1,0,152369,2.25%
,,,,,,,,,,,
ledinState,s/UTs,byParties - Page 3,of 5),,,,,,7,3,
"GENERAL ELECTIONS - INDIA, 1962",,,,,VOT,ES POLLE,D IN STA,TES BY PAR,TIES,,
,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES %,OF,,
NUMBER OF,,PARTY,,,CONT- SE,ATS FD,IN P,OLLED VO,TES,,
CONSTITUENCIES,,,,,ESTED W,ON SEA,TS BY,PARTY POL,LED,,
,,,,,,,,,,,
1,,2,,,3,4 5,,6,7,,
,,,,,,,,,,,
Punjab,22,,,,,,,,,,
,,,,,,,,,,,
,,SWA,,,6,0,4,290584,4.28%,,
,,,,,,,,,,,
,,AD,,,7,3,1,829129,12.22%,,
,,,,,,,,,,,
,,REP,,,7,0,4,424324,6.25%,,
,,,,,,,,,,,
,,RRP,,,3,0,3,15262,0.22%,,
,,,,,,,,,,,
,,HLS,,,1,1,0,118667,1.75%,,
,,,,,,,,,,,
,,IND,,,39,0,36,802191,11.82%,,
,,,,,,,,,,,
"State/UT total (Contestants, Se",ats Wo,"n, FD in","Seats,",Valid Vote,s) : 107,22,58,6785637,,,
