VOTES,PO,LL,ED,IN STAT,ES BY,PA,RTIES,,,,,,
,,,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES,% OF,,,,
NUMBER OF,PART,Y,PARTY,,CONT- SE,ATS,FD IN,POLLED,VOTES,,,,
CONSTITUENCIES,TYP,E,,,ESTED W,ON,SEATS B,Y PARTY,POLLED,,,,
,,,,,,,,,,,,,
1,,2,3,,4,5,6,7,8,,,,
,,,,,,,,,,,,,
Andhra Pradesh,4,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,4,0,3,135615,1.00%,,,,
,,,,,,,,,,,,,
,,N,CPI,,22,1,8,1713585,12.62%,,,,
,,,,,,,,,,,,,
,,N,CPM,,9,0,0,841123,6.20%,,,,
,,,,,,,,,,,,,
,,N,INC,,41,35,0,6354959,46.82%,,,,
,,,,,,,,,,,,,
,,N,PSP,,1,0,1,23046,0.17%,,,,
,,,,,,,,,,,,,
,,N,SSP,,3,0,3,56896,0.42%,,,,
,,,,,,,,,,,,,
,,N,SWA,,19,3,7,1865892,13.75%,,,,
,,,,,,,,,,,,,
,,S,RPI,,2,0,2,68456,0.50%,,,,
,,,,,,,,,,,,,
,,Z,IND,,63,2,46,2514433,18.52%,,,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid Votes) :,164,41,70,13574005,,,,,
,,,,,,,,,,,,,
Assam,1,4,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,3,0,2,163790,5.48%,,,,
,,,,,,,,,,,,,
,,N,CPI,,4,1,0,247107,8.27%,,,,
,,,,,,,,,,,,,
,,N,INC,,14,10,0,1369715,45.84%,,,,
,,,,,,,,,,,,,
,,N,PSP,,4,2,0,382472,12.80%,,,,
,,,,,,,,,,,,,
,,N,SSP,,2,0,0,113543,3.80%,,,,
,,,,,,,,,,,,,
,,N,SWA,,1,0,1,28711,0.96%,,,,
,,,,,,,,,,,,,
,,S,AHL,,1,1,0,112492,3.77%,,,,
,,,,,,,,,,,,,
,,Z,IND,,18,0,11,569937,19.08%,,,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid Votes) :,47,14,14,2987767,,,,,
,,,,,,,,,,,,,
Bihar,5,3,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,48,1,35,1507321,11.05%,,,,
,,,,,,,,,,,,,
,,N,CPI,,17,5,4,1354419,9.93%,,,,
,,,,,,,,,,,,,
,,N,CPM,,2,0,2,41741,0.31%,,,,
,,,,,,,,,,,,,
