Election Comm,issio,"n of India - General Elections,",1971 (5th LOK,SABHA),,,,,,,
,,,,,,,,,,,
VOTES PO,LL,ED IN STAT,ES BY,PART,IES,,,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS FD,IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
Andhra Pradesh 4,1,,,,,,,,,,
,,,,,,,,,,,
,N,BJS,5,0,4,205556,1.57%,,,,
,,,,,,,,,,,
,N,CPI,11,1,5,776019,5.94%,,,,
,,,,,,,,,,,
,N,CPM,5,1,2,368713,2.82%,,,,
,,,,,,,,,,,
,N,INC,37,28,0,7286069,55.73%,,,,
,,,,,,,,,,,
,N,NCO,12,0,5,725996,5.55%,,,,
,,,,,,,,,,,
,N,SSP,2,0,2,40853,0.31%,,,,
,,,,,,,,,,,
,N,SWA,9,0,3,597777,4.57%,,,,
,,,,,,,,,,,
,U,BCM,1,0,1,6929,0.05%,,,,
,,,,,,,,,,,
,U,MLP,6,0,6,41198,0.32%,,,,
,,,,,,,,,,,
,U,RPK,4,0,4,33908,0.26%,,,,
,,,,,,,,,,,
,U,RRP,1,0,1,536,0.00%,,,,
,,,,,,,,,,,
,U,TEC,7,0,7,43548,0.33%,,,,
,,,,,,,,,,,
,U,TPS,14,10,0,1873589,14.33%,,,,
,,,,,,,,,,,
,Z,IND,93,1,89,1072692,8.21%,,,,
,,,,,,,,,,,
"tate/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",207,41,129,13073383,,,,,
,,,,,,,,,,,
Assam 1,4,,,,,,,,,,
,,,,,,,,,,,
,N,BJS,1,0,0,74542,2.46%,,,,
,,,,,,,,,,,
,N,CPI,5,0,3,170978,5.65%,,,,
,,,,,,,,,,,
,N,CPM,2,0,2,42772,1.41%,,,,
,,,,,,,,,,,
,N,INC,13,13,0,1724503,56.98%,,,,
,,,,,,,,,,,
,N,NCO,10,0,10,88155,2.91%,,,,
,,,,,,,,,,,
,N,PSP,5,0,4,137928,4.56%,,,,
,,,,,,,,,,,
,N,SSP,4,0,4,41285,1.36%,,,,
,,,,,,,,,,,
,N,SWA,1,0,1,7033,0.23%,,,,
,,,,,,,,,,,
,S,AHL,1,1,0,90772,3.00%,,,,
,,,,,,,,,,,
,S,RSP,1,0,1,28362,0.94%,,,,
,,,,,,,,,,,
,U,RCI,2,0,1,64429,2.13%,,,,
,,,,,,,,,,,
,U,SUC,2,0,2,13372,0.44%,,,,
,,,,,,,,,,,
,Z,IND,31,0,27,542409,17.92%,,,,
,,,,,,,,,,,
"tate/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",78,14,55,3026540,,,,,
,,,,,,,,,,,
Bihar 5,3,,,,,,,,,,
,,,,,,,,,,,
,N,BJS,28,2,8,1801785,12.10%,,,,
,,,,,,,,,,,
,N,CPI,17,5,2,1467157,9.85%,,,,
,,,,,,,,,,,
,N,CPM,4,0,4,113373,0.76%,,,,
,,,,,,,,,,,
,N,INC,47,39,2,5967512,40.06%,,,,
,,,,,,,,,,,
,N,NCO,24,3,9,1714334,11.51%,,,,
"ELECTIONS - INDIA, 1971",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
Bihar 5,3,,,,,,,,,,
,,,,,,,,,,,
,N,PSP,12,0,12,168806,1.13%,,,,
,,,,,,,,,,,
,N,SSP,28,2,16,1410438,9.47%,,,,
,,,,,,,,,,,
,N,SWA,3,0,3,35332,0.24%,,,,
,,,,,,,,,,,
,S,BKD,14,0,13,139597,0.94%,,,,
,,,,,,,,,,,
,S,FBL,3,0,3,25993,0.17%,,,,
,,,,,,,,,,,
,S,JAP,4,0,2,139091,0.93%,,,,
,,,,,,,,,,,
,S,MUL,2,0,2,39526,0.27%,,,,
,,,,,,,,,,,
,U,BRP,2,0,2,4982,0.03%,,,,
,,,,,,,,,,,
,U,HSD,9,0,9,65925,0.44%,,,,
,,,,,,,,,,,
,U,ISP,1,0,1,2615,0.02%,,,,
,,,,,,,,,,,
,U,JKP,16,1,13,135179,0.91%,,,,
,,,,,,,,,,,
,U,PBI,5,0,5,17545,0.12%,,,,
,,,,,,,,,,,
,U,PHJ,6,0,5,66669,0.45%,,,,
,,,,,,,,,,,
,U,RCI,1,0,1,1193,0.01%,,,,
,,,,,,,,,,,
,U,RRP,2,0,2,11000,0.07%,,,,
,,,,,,,,,,,
,U,RSM,1,0,1,848,0.01%,,,,
,,,,,,,,,,,
,U,SHD,4,0,3,193389,1.30%,,,,
,,,,,,,,,,,
,U,SOC,2,0,2,3147,0.02%,,,,
,,,,,,,,,,,
,U,SUC,3,0,3,13614,0.09%,,,,
,,,,,,,,,,,
,Z,IND,183,1,176,1356370,9.11%,,,,
,,,,,,,,,,,
"tate/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",421,53,299,14895420,,,,,
,,,,,,,,,,,
Gujarat 2,4,,,,,,,,,,
,,,,,,,,,,,
,N,BJS,5,0,4,135793,2.22%,,,,
,,,,,,,,,,,
,N,INC,23,11,0,2749521,44.85%,,,,
,,,,,,,,,,,
,N,NCO,19,11,0,2433644,39.70%,,,,
,,,,,,,,,,,
,N,PSP,1,0,0,97418,1.59%,,,,
,,,,,,,,,,,
,N,SSP,1,0,1,2357,0.04%,,,,
,,,,,,,,,,,
,N,SWA,4,2,0,334858,5.46%,,,,
,,,,,,,,,,,
,S,BKD,1,0,1,2944,0.05%,,,,
,,,,,,,,,,,
,U,HMS,2,0,2,10101,0.16%,,,,
,,,,,,,,,,,
,U,RPK,4,0,4,18607,0.30%,,,,
,,,,,,,,,,,
,Z,IND,58,0,57,344795,5.62%,,,,
,,,,,,,,,,,
"tate/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",118,24,69,6130038,,,,,
,,,,,,,,,,,
Haryana,9,,,,,,,,,,
,,,,,,,,,,,
,N,BJS,3,1,0,334830,11.19%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,3817,0.13%,,,,
,,,,,,,,,,,
,N,INC,9,7,0,1572929,52.56%,,,,
,,,,,,,,,,,
,N,NCO,4,0,2,339213,11.34%,,,,
,,,,,,,,,,,
,N,PSP,2,0,2,5942,0.20%,,,,
,,,,,,,,,,,
,N,SSP,1,0,0,86510,2.89%,,,,
,,,,,,,,,,,
,S,BKD,1,0,1,10995,0.37%,,,,
"ELECTIONS - INDIA, 1",971,,,,,,VOT,ES,POLLED IN STA,TES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,V,OTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,TY,PE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
Haryana,,9,,,,,,,,,
,,,,,,,,,,,
,,S,FBL,,,,1,0,1,6604,0.22%
,,,,,,,,,,,
,,S,SAD,,,,1,0,1,9413,0.31%
,,,,,,,,,,,
,,S,VHP,,,,3,1,1,274091,9.16%
,,,,,,,,,,,
,,U,PBI,,,,1,0,1,3108,0.10%
,,,,,,,,,,,
,,U,RPK,,,,5,0,5,33108,1.11%
,,,,,,,,,,,
,,U,SUC,,,,2,0,2,17577,0.59%
,,,,,,,,,,,
,,Z,IND,,,,29,0,28,294401,9.84%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,63,9,45,2992538,
,,,,,,,,,,,
ammu And Kashmir,,6,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,3,0,1,142750,12.23%
,,,,,,,,,,,
,,N,INC,,,,6,5,0,630690,54.06%
,,,,,,,,,,,
,,N,PSP,,,,1,0,1,5332,0.46%
,,,,,,,,,,,
,,S,SAD,,,,2,0,2,12658,1.08%
,,,,,,,,,,,
,,Z,IND,,,,20,1,16,375316,32.17%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,32,6,20,1166746,
,,,,,,,,,,,
Kerala,1,9,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,3,0,3,91187,1.40%
,,,,,,,,,,,
,,N,CPI,,,,3,3,0,593761,9.09%
,,,,,,,,,,,
,,N,CPM,,,,11,2,0,1711442,26.21%
,,,,,,,,,,,
,,N,INC,,,,7,6,0,1289601,19.75%
,,,,,,,,,,,
,,N,NCO,,,,4,0,4,90887,1.39%
,,,,,,,,,,,
,,N,PSP,,,,1,0,0,143745,2.20%
,,,,,,,,,,,
,,N,SSP,,,,2,0,2,57382,0.88%
,,,,,,,,,,,
,,N,SWA,,,,1,0,1,14716,0.23%
,,,,,,,,,,,
,,S,KEC,,,,3,3,0,542431,8.31%
,,,,,,,,,,,
,,S,MUL,,,,2,2,0,366702,5.62%
,,,,,,,,,,,
,,S,RSP,,,,2,2,0,419796,6.43%
,,,,,,,,,,,
,,U,ISP,,,,1,0,1,33893,0.52%
,,,,,,,,,,,
,,Z,IND,,,,27,1,18,1173320,17.97%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,67,19,29,6528863,
,,,,,,,,,,,
Madhya Pradesh,3,7,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,28,11,1,2964252,33.56%
,,,,,,,,,,,
,,N,CPI,,,,4,0,3,88411,1.00%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,5362,0.06%
,,,,,,,,,,,
,,N,INC,,,,36,21,0,4027658,45.60%
,,,,,,,,,,,
,,N,NCO,,,,5,0,2,200409,2.27%
,,,,,,,,,,,
,,N,PSP,,,,9,0,8,107147,1.21%
,,,,,,,,,,,
,,N,SSP,,,,5,1,4,138550,1.57%
,,,,,,,,,,,
,,N,SWA,,,,1,0,1,8242,0.09%
,,,,,,,,,,,
,,S,BKD,,,,1,0,1,5385,0.06%
"ELECTIONS - INDIA, 1",971,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,TY,PE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
Madhya Pradesh,3,7,,,,,,,,,
,,,,,,,,,,,
,,S,FBL,,,,1,0,1,7749,0.09%
,,,,,,,,,,,
,,S,RSP,,,,1,0,1,9657,0.11%
,,,,,,,,,,,
,,U,HMS,,,,5,0,5,38052,0.43%
,,,,,,,,,,,
,,Z,IND,,,,73,4,66,1230883,13.94%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,170,37,94,8831757,
,,,,,,,,,,,
Maharashtra,4,5,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,13,0,6,727177,5.23%
,,,,,,,,,,,
,,N,CPI,,,,8,0,7,266096,1.91%
,,,,,,,,,,,
