Electi,on Com,missio,n of India -,Gene,ral Ele,ctions,", 1977(6th LOK",SABHA),,,
,,,,,,,,,,,
VOTES,PO,LL,ED I,N,ST,AT,ES BY,PART,IES,,
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,TY,PE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
NDHRA PRADESH,4,2,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,37,1,0,5400643,32.33%
,,,,,,,,,,,
,,N,CPI,,,,10,0,8,446044,2.67%
,,,,,,,,,,,
,,N,CPM,,,,6,0,1,786719,4.71%
,,,,,,,,,,,
,,N,INC,,,,42,41,0,9582708,57.36%
,,,,,,,,,,,
,,U,HMS,,,,1,0,1,664,0.00%
,,,,,,,,,,,
,,U,RPK,,,,1,0,1,15189,0.09%
,,,,,,,,,,,
,,U,RRP,,,,1,0,1,3138,0.02%
,,,,,,,,,,,
,,Z,IND,,,,67,0,66,470018,2.81%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,165,42,78,16705123,
,,,,,,,,,,,
ACHAL PRADESH,,2,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,2,1,0,20909,41.25%
,,,,,,,,,,,
,,Z,IND,,,,2,1,1,29781,58.75%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,4,2,1,50690,
,,,,,,,,,,,
ASSAM,1,4,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,11,3,0,1368058,35.78%
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,54216,1.42%
,,,,,,,,,,,
,,N,CPM,,,,1,0,0,110085,2.88%
,,,,,,,,,,,
,,N,INC,,,,14,10,0,1932994,50.56%
,,,,,,,,,,,
,,U,RCI,,,,1,0,1,45047,1.18%
,,,,,,,,,,,
,,U,SUC,,,,2,0,2,20744,0.54%
,,,,,,,,,,,
,,Z,IND,,,,9,1,7,292166,7.64%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,40,14,12,3823310,
,,,,,,,,,,,
BIHAR,5,4,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,52,52,0,13563737,64.98%
,,,,,,,,,,,
,,N,CPI,,,,22,0,17,1175153,5.63%
,,,,,,,,,,,
,,N,CPM,,,,2,0,2,42042,0.20%
,,,,,,,,,,,
,,N,INC,,,,54,0,13,4781142,22.90%
,,,,,,,,,,,
,,S,MUL,,,,2,0,2,2142,0.01%
,,,,,,,,,,,
,,U,JKD,,,,6,0,5,93692,0.45%
,,,,,,,,,,,
,,U,JKP,,,,1,1,0,126288,0.60%
,,,,,,,,,,,
,,U,PHJ,,,,3,0,3,27116,0.13%
,,,,,,,,,,,
,,U,RPI,,,,1,0,1,4211,0.02%
,,,,,,,,,,,
,,U,SSD,,,,6,0,6,84060,0.40%
,,,,,,,,,,,
,,U,SUC,,,,3,0,3,14651,0.07%
,,,,,,,,,,,
,,Z,IND,,,,188,1,187,960672,4.60%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,340,54,239,20874906,
"ELECTIONS - INDIA, 1",977,,,,,,VOT,ES,POLLED IN STA,TES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,V,OTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
OA DAMAN & DIU,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,2,0,2,43069,14.70%
,,,,,,,,,,,
,,N,INC,,,,2,1,0,117150,39.98%
,,,,,,,,,,,
,,S,MAG,,,,2,1,0,118748,40.52%
,,,,,,,,,,,
,,Z,IND,,,,9,0,9,14079,4.80%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,15,2,11,293046,
,,,,,,,,,,,
GUJARAT,,26,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,26,16,0,4019124,49.54%
,,,,,,,,,,,
,,N,INC,,,,26,10,0,3806126,46.92%
,,,,,,,,,,,
,,Z,IND,,,,60,0,60,287121,3.54%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,112,26,60,8112371,
,,,,,,,,,,,
HARYANA,,10,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,10,10,0,2918446,70.35%
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,25289,0.61%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,1118,0.03%
,,,,,,,,,,,
,,N,INC,,,,9,0,4,744862,17.95%
,,,,,,,,,,,
,,S,FBL,,,,1,0,1,2444,0.06%
,,,,,,,,,,,
,,S,VHP,,,,1,0,0,192867,4.65%
,,,,,,,,,,,
,,U,SUC,,,,2,0,2,4850,0.12%
,,,,,,,,,,,
,,Z,IND,,,,24,0,23,258668,6.24%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,50,10,33,4148544,
,,,,,,,,,,,
ACHAL PRADESH,,4,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,4,4,0,651320,57.19%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,15709,1.38%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,8950,0.79%
,,,,,,,,,,,
,,N,INC,,,,4,0,0,439398,38.58%
,,,,,,,,,,,
,,Z,IND,,,,4,0,4,23516,2.06%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,14,4,6,1138893,
,,,,,,,,,,,
MMU & KASHMIR,,6,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,2,0,1,117198,8.23%
,,,,,,,,,,,
,,N,INC,,,,3,3,0,233144,16.37%
,,,,,,,,,,,
,,S,JKN,,,,3,2,0,483192,33.92%
,,,,,,,,,,,
,,Z,IND,,,,21,1,16,590790,41.48%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,29,6,17,1424324,
,,,,,,,,,,,
KARNATAKA,,28,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,28,2,0,4096690,39.89%
,,,,,,,,,,,
,,N,CPI,,,,3,0,3,41108,0.40%
,,,,,,,,,,,
,,N,INC,,,,28,26,0,5833567,56.80%
,,,,,,,,,,,
,,U,RPK,,,,2,0,2,33575,0.33%
,,,,,,,,,,,
,,Z,IND,,,,37,0,37,265185,2.58%
"ELECTIONS - INDIA, 1",977,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
KARNATAKA,,28,,,,,,,,,
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,98,28,42,10270125,
,,,,,,,,,,,
KERALA,,20,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,3,0,0,637206,7.20%
,,,,,,,,,,,
,,N,CPI,,,,4,4,0,919359,10.38%
,,,,,,,,,,,
,,N,CPM,,,,9,0,0,1800193,20.33%
,,,,,,,,,,,
,,N,INC,,,,11,11,0,2579745,29.13%
,,,,,,,,,,,
,,S,KCP,,,,3,0,0,526937,5.95%
,,,,,,,,,,,
,,S,KEC,,,,2,2,0,491674,5.55%
,,,,,,,,,,,
,,S,MLO,,,,2,0,0,318979,3.60%
,,,,,,,,,,,
,,S,MUL,,,,2,2,0,533726,6.03%
,,,,,,,,,,,
,,S,RSP,,,,1,1,0,272378,3.08%
,,,,,,,,,,,
,,U,SUC,,,,1,0,1,8305,0.09%
,,,,,,,,,,,
,,Z,IND,,,,25,0,22,767671,8.67%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,63,20,23,8856173,
,,,,,,,,,,,
ADHYA PRADESH,,40,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,39,37,0,6839738,57.90%
,,,,,,,,,,,
,,N,CPI,,,,3,0,3,61590,0.52%
,,,,,,,,,,,
,,N,INC,,,,38,1,0,3835807,32.47%
,,,,,,,,,,,
,,U,RPK,,,,1,1,0,153980,1.30%
,,,,,,,,,,,
,,Z,IND,,,,71,1,69,921280,7.80%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,152,40,72,11812395,
,,,,,,,,,,,
MAHARASHTRA,,48,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,31,19,0,5302964,31.39%
,,,,,,,,,,,
,,N,CPI,,,,4,0,4,113717,0.67%
,,,,,,,,,,,
,,N,CPM,,,,3,3,0,601158,3.56%
,,,,,,,,,,,
,,N,INC,,,,47,20,0,7942267,47.02%
,,,,,,,,,,,
,,S,PWP,,,,6,5,0,1030232,6.10%
,,,,,,,,,,,
,,U,RPI,,,,1,0,0,140605,0.83%
,,,,,,,,,,,
,,U,RPK,,,,5,1,0,731289,4.33%
,,,,,,,,,,,
,,Z,IND,,,,114,0,109,1029117,6.09%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,211,48,113,16891349,
,,,,,,,,,,,
MANIPUR,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BLD,,,,2,0,2,39924,8.58%
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,53506,11.50%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,210851,45.31%
,,,,,,,,,,,
,,S,MRP,,,,2,0,1,109130,23.45%
,,,,,,,,,,,
,,Z,IND,,,,3,0,3,51930,11.16%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,11,2,8,465341,
"ELECTIONS - INDIA, 1",977,,,,,,VOT,ES,POLLED IN STA,TES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,V,OTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
MEGHALAYA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,2,1,0,91255,35.92%
,,,,,,,,,,,
,,Z,IND,,,,5,1,1,162791,64.08%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,7,2,1,254046,
,,,,,,,,,,,
MIZORAM,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,0,0,37342,37.07%
,,,,,,,,,,,
,,Z,IND,,,,3,1,2,63383,62.93%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,4,1,2,100725,
,,,,,,,,,,,
NAGALAND,,1,,,,,,,,,
