"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
NDHRA PRADESH,,42,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,6,0,0,621870,3.68%,,
,,,,,,,,,,,,,
,,N,CPM,,,,5,0,1,601620,3.56%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,42,41,0,9508388,56.24%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,11,1,2,1222932,7.23%,,
,,,,,,,,,,,,,
,,N,JNP,,,,31,0,13,2575925,15.24%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,20,0,13,1082440,6.40%,,
,,,,,,,,,,,,,
,,U,BSP,,,,1,0,1,13380,0.08%,,
,,,,,,,,,,,,,
,,U,RRP,,,,1,0,1,839,0.00%,,
,,,,,,,,,,,,,
,,Z,IND,,,,154,0,152,1280398,7.57%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,271,42,183,16907792,,,
,,,,,,,,,,,,,
ACHAL PRADESH,,2,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,INC(I),,,,2,2,0,76600,44.13%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,2,0,2,18866,10.87%,,
,,,,,,,,,,,,,
,,S,PPA,,,,2,0,0,69810,40.22%,,
,,,,,,,,,,,,,
,,Z,IND,,,,2,0,2,8303,4.78%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,8,2,4,173579,,,
,,,,,,,,,,,,,
ASSAM,,14,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,0,58146,9.17%,,
,,,,,,,,,,,,,
