"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
NDHRA PRADESH,,42,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,1,0,501597,2.22%
,,,,,,,,,,,
,,N,CPI,,,,3,1,1,418882,1.85%
,,,,,,,,,,,
,,N,CPM,,,,2,1,0,401582,1.78%
,,,,,,,,,,,
,,N,ICS,,,,1,1,0,233175,1.03%
,,,,,,,,,,,
,,N,INC,,,,42,6,0,9452394,41.81%
,,,,,,,,,,,
,,N,JNP,,,,1,1,0,274064,1.21%
,,,,,,,,,,,
,,S,TDP,,,,34,30,0,10132859,44.82%
,,,,,,,,,,,
,,Z,IND,,,,214,1,212,1194493,5.28%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,299,42,213,22609046,
,,,,,,,,,,,
ACHAL PRADESH,,2,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,2,2,0,98131,43.32%
,,,,,,,,,,,
,,N,JNP,,,,1,0,1,9542,4.21%
,,,,,,,,,,,
,,S,PPA,,,,2,0,0,78455,34.63%
,,,,,,,,,,,
,,Z,IND,,,,4,0,4,40418,17.84%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,9,2,5,226546,
,,,,,,,,,,,
BIHAR,,54,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,32,0,22,1731585,6.92%
,,,,,,,,,,,
,,N,CPI,,,,16,2,5,2062664,8.24%
,,,,,,,,,,,
,,N,CPM,,,,3,0,1,263859,1.05%
,,,,,,,,,,,
,,N,ICS,,,,2,0,1,163223,0.65%
,,,,,,,,,,,
