"STATE/UT,",,,,SEATS,,,VOTES,% OF
NUMBER OF PAR,TY,PARTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES T,YPE,,,ESTED W,ON SEA,TS BY,PARTY,POLLED
,,,,,,,,
1,2,3,,4,5,6,7,8
,,,,,,,,
ASSAM,14,,,,,,,
,,,,,,,,
,N,BJP,,2,0,2,27916,0.37%
,,,,,,,,
,N,CPI,,2,0,2,103323,1.38%
,,,,,,,,
,N,CPM,,2,0,1,256254,3.43%
,,,,,,,,
,N,ICS,,8,1,7,457705,6.13%
,,,,,,,,
,N,INC,,13,4,3,1749688,23.43%
,,,,,,,,
,N,JNP,,10,0,9,264876,3.55%
,,,,,,,,
,N,LKD,,2,0,2,46627,0.62%
,,,,,,,,
,S,PTC,,3,1,2,310150,4.15%
,,,,,,,,
,Z,IND,,64,8,47,4251696,56.93%
,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid",Votes) :,106,14,75,7468235,
,,,,,,,,
PUNJAB,13,,,,,,,
,,,,,,,,
,N,BJP,,3,0,2,235368,3.39%
,,,,,,,,
,N,CPI,,3,0,1,266364,3.84%
,,,,,,,,
,N,CPM,,3,0,2,206322,2.98%
,,,,,,,,
,N,INC,,13,6,0,2879089,41.53%
,,,,,,,,
,N,JNP,,2,0,1,155206,2.24%
,,,,,,,,
,S,SAD,,11,7,0,2577279,37.17%
,,,,,,,,
,Z,IND,,39,0,38,613262,8.85%
,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid",Votes) :,74,13,44,6932890,
,,,,,,,,
Gran,d Total,:,,180,27,119,14401125,
,,,,,,,,
"Party, S - State Party, U - Regist",ered (,Unrecognised) P,"arty, Z -",Independent,,,,
