Election,Commission,of,India,- General Elections,", 1989(9th LOK",SABHA),,,,,
,,,,,,,,,,,
VOTES P,OLLE,,D I,N STAT,ES BY,PART,IES,,,,
,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES,% OF,,
NUMBER OF P,ARTY P,A,RTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,TYPE,,,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,
,,,,,,,,,,,
1,2,,3,,4,5,6,7,8,,
,,,,,,,,,,,
NDHRA PRADESH,42,,,,,,,,,,
,,,,,,,,,,,
,N BJ,P,,,2,0,0,567124,1.97%,,
,,,,,,,,,,,
,N C,PI,,,2,0,0,562545,1.96%,,
,,,,,,,,,,,
,N C,PM,,,2,0,0,690829,2.40%,,
,,,,,,,,,,,
,N IC,S(,SCS),,1,0,0,241587,0.84%,,
,,,,,,,,,,,
,N IN,C,,,42,39,0,14671782,51.01%,,
,,,,,,,,,,,
,N JD,,,,2,0,0,466874,1.62%,,
,,,,,,,,,,,
,N JN,P,(JP),,8,0,8,34794,0.12%,,
,,,,,,,,,,,
,N L,KD,(B),,1,0,1,4660,0.02%,,
,,,,,,,,,,,
,S T,DP,,,33,2,0,9909728,34.45%,,
,,,,,,,,,,,
,U B,SP,,,20,0,20,138257,0.48%,,
,,,,,,,,,,,
,U D,LP,,,1,0,1,298,0.00%,,
,,,,,,,,,,,
,U L,KP,,,2,0,2,4731,0.02%,,
,,,,,,,,,,,
,U M,CP,I,,3,0,3,100300,0.35%,,
,,,,,,,,,,,
,U M,IM,,,5,1,4,602895,2.10%,,
,,,,,,,,,,,
,U R,PK,,,1,0,1,2521,0.01%,,
,,,,,,,,,,,
,U S,OP,(L),,1,0,1,2831,0.01%,,
,,,,,,,,,,,
,U V,JS,,,1,0,1,1093,0.00%,,
,,,,,,,,,,,
,Z IN,D,,,140,0,140,762070,2.65%,,
,,,,,,,,,,,
"State/UT total (Contestants, Se","ats Won, FD",in,"Seats,",Valid Votes) :,267,42,182,28764919,,,
,,,,,,,,,,,
ACHAL PRADESH,2,,,,,,,,,,
,,,,,,,,,,,
,N IN,C,,,2,2,0,136541,49.99%,,
,,,,,,,,,,,
,S PP,A,,,2,0,0,96181,35.21%,,
,,,,,,,,,,,
,Z IN,D,,,2,0,1,40408,14.79%,,
,,,,,,,,,,,
"State/UT total (Contestants, Se","ats Won, FD",in,"Seats,",Valid Votes) :,6,2,1,273130,,,
,,,,,,,,,,,
BIHAR,54,,,,,,,,,,
,,,,,,,,,,,
,N BJ,P,,,24,8,6,3617091,11.72%,,
,,,,,,,,,,,
,N C,PI,,,12,4,0,2447484,7.93%,,
,,,,,,,,,,,
,N C,PM,,,3,1,1,433871,1.41%,,
,,,,,,,,,,,
,N IN,C,,,54,4,2,8659832,28.07%,,
,,,,,,,,,,,
,N JD,,,,38,32,2,11619517,37.66%,,
,,,,,,,,,,,
,N JN,P,(JP),,14,0,13,271029,0.88%,,
,,,,,,,,,,,
,N L,KD,(B),,28,0,28,193007,0.63%,,
,,,,,,,,,,,
,U A,M,B,,2,0,2,3744,0.01%,,
,,,,,,,,,,,
,U BJ,S,,,6,0,6,12569,0.04%,,
,,,,,,,,,,,
,U B,KS,,,1,0,1,367,0.00%,,
,,,,,,,,,,,
,U B,KU,S,,1,0,1,3504,0.01%,,
"ELECTIONS - INDIA, 1989",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
BIHAR,54,,,,,,,,,,
,,,,,,,,,,,
,U,BLKD,1,0,1,145,0.00%,,,,
,,,,,,,,,,,
,U,BSP,6,0,6,30227,0.10%,,,,
,,,,,,,,,,,
,U,DDP,47,0,47,107193,0.35%,,,,
,,,,,,,,,,,
,U,DMM,1,0,1,1582,0.01%,,,,
,,,,,,,,,,,
,U,HJD,2,0,2,6663,0.02%,,,,
,,,,,,,,,,,
,U,IPF,10,1,8,713280,2.31%,,,,
,,,,,,,,,,,
,U,JKD,5,0,4,129222,0.42%,,,,
,,,,,,,,,,,
,U,JMM,9,3,3,978494,3.17%,,,,
,,,,,,,,,,,
,U,LMS,1,0,1,575,0.00%,,,,
,,,,,,,,,,,
,U,M-COR,1,1,0,247013,0.80%,,,,
,,,,,,,,,,,
,U,PBI,1,0,1,3341,0.01%,,,,
,,,,,,,,,,,
,U,PHJ,1,0,1,2890,0.01%,,,,
,,,,,,,,,,,
,U,PVP,2,0,2,2055,0.01%,,,,
,,,,,,,,,,,
,U,SOP(L),4,0,4,7571,0.02%,,,,
,,,,,,,,,,,
,U,SSD,7,0,7,32686,0.11%,,,,
,,,,,,,,,,,
,U,SUC,1,0,1,576,0.00%,,,,
,,,,,,,,,,,
,Z,IND,429,0,425,1327965,4.30%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",711,54,576,30853493,,,,,
,,,,,,,,,,,
GOA,2,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,1,0,1,2957,0.71%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,3543,0.85%,,,,
,,,,,,,,,,,
,N,INC,2,1,0,198100,47.43%,,,,
,,,,,,,,,,,
,N,JD,1,0,0,75479,18.07%,,,,
,,,,,,,,,,,
,N,JNP (JP),2,0,2,2559,0.61%,,,,
,,,,,,,,,,,
,S,MAG,1,1,0,116392,27.87%,,,,
,,,,,,,,,,,
,U,BSP,2,0,2,5372,1.29%,,,,
,,,,,,,,,,,
,Z,IND,15,0,15,13283,3.18%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",25,2,21,417685,,,,,
,,,,,,,,,,,
GUJARAT,26,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,12,12,0,3943247,30.47%,,,,
,,,,,,,,,,,
,N,INC,26,3,0,4809822,37.16%,,,,
,,,,,,,,,,,
,N,JD,14,11,0,3598584,27.80%,,,,
,,,,,,,,,,,
,N,JNP (JP),5,0,5,21039,0.16%,,,,
,,,,,,,,,,,
,N,LKD (B),1,0,1,949,0.01%,,,,
,,,,,,,,,,,
,U,BJS,2,0,2,6147,0.05%,,,,
,,,,,,,,,,,
,U,BSP,2,0,2,7878,0.06%,,,,
,,,,,,,,,,,
,U,DDP,25,0,25,80200,0.62%,,,,
,,,,,,,,,,,
,U,DMM,7,0,7,90751,0.70%,,,,
,,,,,,,,,,,
,U,GJP,1,0,1,1577,0.01%,,,,
,,,,,,,,,,,
,U,RPI,3,0,3,4784,0.04%,,,,
,,,,,,,,,,,
,U,RPK,2,0,2,3217,0.02%,,,,
"ELECTIONS - INDIA, 1",989,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
GUJARAT,,26,,,,,,,,,
,,,,,,,,,,,
,,Z,IND,,,,161,0,161,374804,2.90%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,261,26,209,12942999,
,,,,,,,,,,,
HARYANA,,10,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,0,0,507217,8.31%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,15161,0.25%
,,,,,,,,,,,
,,N,INC,,,,10,4,0,2816831,46.15%
,,,,,,,,,,,
,,N,JD,,,,8,6,0,2374534,38.90%
,,,,,,,,,,,
,,N,JNP (JP),,,,5,0,5,40979,0.67%
,,,,,,,,,,,
,,N,LKD (B),,,,5,0,5,4931,0.08%
,,,,,,,,,,,
,,U,BSP,,,,9,0,9,99164,1.62%
,,,,,,,,,,,
,,U,DDP,,,,10,0,10,21003,0.34%
,,,,,,,,,,,
,,U,PDL,,,,1,0,1,918,0.02%
,,,,,,,,,,,
,,U,RPI,,,,1,0,1,1382,0.02%
,,,,,,,,,,,
,,U,SUC,,,,1,0,1,2232,0.04%
,,,,,,,,,,,
,,Z,IND,,,,271,0,271,219420,3.59%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,324,10,304,6103772,
,,,,,,,,,,,
ACHAL PRADESH,,4,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,4,3,0,851662,45.25%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,24191,1.29%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,9736,0.52%
,,,,,,,,,,,
,,N,INC,,,,4,1,0,789804,41.97%
,,,,,,,,,,,
,,N,JD,,,,2,0,2,135401,7.19%
,,,,,,,,,,,
,,N,JNP (JP),,,,2,0,2,4392,0.23%
,,,,,,,,,,,
,,U,BSP,,,,4,0,4,15870,0.84%
,,,,,,,,,,,
,,U,DDP,,,,4,0,4,37290,1.98%
,,,,,,,,,,,
,,Z,IND,,,,11,0,11,13676,0.73%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,33,4,25,1882022,
,,,,,,,,,,,
MMU & KASHMIR,,6,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,0,2,74832,7.15%
,,,,,,,,,,,
,,N,INC,,,,3,2,0,407474,38.95%
,,,,,,,,,,,
,,N,JD,,,,2,0,0,314357,30.05%
,,,,,,,,,,,
,,N,JNP (JP),,,,1,0,1,11049,1.06%
,,,,,,,,,,,
,,S,JKN,,,,3,3,0,71194,6.81%
,,,,,,,,,,,
,,S,JPP,,,,1,0,1,22625,2.16%
,,,,,,,,,,,
,,U,BSP,,,,1,0,1,42453,4.06%
,,,,,,,,,,,
,,U,PBI,,,,1,0,1,1718,0.16%
,,,,,,,,,,,
,,Z,IND,,,,49,1,48,100419,9.60%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,63,6,54,1046121,
,,,,,,,,,,,
KARNATAKA,,28,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,5,0,4,470307,2.55%
"ELECTIONS - INDIA, 1989",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
KARNATAKA,28,,,,,,,,,,
,,,,,,,,,,,
,N,CPI,1,0,0,141838,0.77%,,,,
,,,,,,,,,,,
,N,INC,28,27,0,9008980,48.90%,,,,
,,,,,,,,,,,
,N,JD,27,1,3,5220311,28.34%,,,,
,,,,,,,,,,,
,N,JNP (JP),26,0,21,1951730,10.59%,,,,
,,,,,,,,,,,
,N,LKD (B),4,0,4,9641,0.05%,,,,
,,,,,,,,,,,
,S,MUL,4,0,4,50207,0.27%,,,,
,,,,,,,,,,,
,U,DMM,1,0,1,4672,0.03%,,,,
,,,,,,,,,,,
,U,KGP,1,0,1,1915,0.01%,,,,
