Election Co,mmissi,on of India,- General Election,"s, 1991(10th LO",K SABHA),,,,,,
,,,,,,,,,,,
VOTES PO,LL,ED I,N STAT,ES BY,PART,IES,,,,,
,,,,,,,,,,,
"STATE/UT,",,,,SEATS,,,VOTES,% OF,,,
NUMBER OF PAR,TY,PARTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,,
CONSTITUENCIES T,YPE,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,,
,,,,,,,,,,,
1,2,3,,4,5,6,7,8,,,
,,,,,,,,,,,
NDHRA PRADESH,42,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,,41,1,34,2454665,9.63%,,,
,,,,,,,,,,,
,N,CPI,,2,1,0,477689,1.87%,,,
,,,,,,,,,,,
,N,CPM,,2,1,0,619517,2.43%,,,
,,,,,,,,,,,
,N,ICS(SCS),,1,0,0,229903,0.90%,,,
,,,,,,,,,,,
,N,INC,,42,25,1,11610772,45.55%,,,
,,,,,,,,,,,
,N,JD,,2,0,1,138875,0.54%,,,
,,,,,,,,,,,
,N,JP,,32,0,32,83552,0.33%,,,
,,,,,,,,,,,
,N,LKD,,1,0,1,1536,0.01%,,,
,,,,,,,,,,,
,S,BSP,,29,0,29,96097,0.38%,,,
,,,,,,,,,,,
,S,TDP,,35,13,1,8223271,32.26%,,,
,,,,,,,,,,,
,U,BDLP,,1,0,1,142,0.00%,,,
,,,,,,,,,,,
,U,BKUS,,1,0,1,164,0.00%,,,
,,,,,,,,,,,
,U,IPF,,1,0,1,7287,0.03%,,,
,,,,,,,,,,,
,U,JNP,,1,0,1,257,0.00%,,,
,,,,,,,,,,,
,U,LAB(B),,1,0,1,434,0.00%,,,
,,,,,,,,,,,
,U,LKP,,2,0,2,2873,0.01%,,,
,,,,,,,,,,,
,U,MCPI,,4,0,4,39877,0.16%,,,
,,,,,,,,,,,
,U,MIM,,1,1,0,454823,1.78%,,,
,,,,,,,,,,,
,U,MSD,,2,0,2,503,0.00%,,,
,,,,,,,,,,,
,U,NBP,,2,0,2,787,0.00%,,,
,,,,,,,,,,,
,U,RPK,,1,0,1,569,0.00%,,,
,,,,,,,,,,,
,U,SRP,,1,0,1,571,0.00%,,,
,,,,,,,,,,,
,U,SSD,,1,0,1,474,0.00%,,,
,,,,,,,,,,,
,Z,IND,,403,0,402,1044005,4.10%,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats,",Valid Votes) :,609,42,519,25488643,,,,
,,,,,,,,,,,
ACHAL PRADESH,2,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,,2,0,2,15943,6.11%,,,
,,,,,,,,,,,
,N,INC,,2,2,0,179824,68.92%,,,
,,,,,,,,,,,
,N,JD,,2,0,0,64380,24.68%,,,
,,,,,,,,,,,
,Z,IND,,1,0,1,754,0.29%,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats,",Valid Votes) :,7,2,3,260901,,,,
,,,,,,,,,,,
ASSAM,14,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,,8,2,4,811798,9.60%,,,
,,,,,,,,,,,
,N,CPI,,4,0,4,181837,2.15%,,,
,,,,,,,,,,,
,N,CPM,,2,1,0,400122,4.73%,,,
,,,,,,,,,,,
,N,ICS(SCS),,5,0,5,182174,2.15%,,,
"ELECTIONS - INDIA, 1991",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
ASSAM 1,4,,,,,,,,,,
,,,,,,,,,,,
,N,INC,14,8,1,2409284,28.49%,,,,
,,,,,,,,,,,
,N,JD,6,0,5,436202,5.16%,,,,
,,,,,,,,,,,
,N,JD(S),2,0,2,4548,0.05%,,,,
,,,,,,,,,,,
,N,JP,6,0,6,60966,0.72%,,,,
,,,,,,,,,,,
,S,AGP,14,1,6,1489898,17.62%,,,,
,,,,,,,,,,,
,S,NAGP,11,0,10,494628,5.85%,,,,
,,,,,,,,,,,
,S,PTCA,2,0,2,87387,1.03%,,,,
,,,,,,,,,,,
,S,UMF,3,0,2,206737,2.44%,,,,
,,,,,,,,,,,
,U,ADC,1,1,0,139785,1.65%,,,,
,,,,,,,,,,,
,U,AJD,2,0,2,8519,0.10%,,,,
,,,,,,,,,,,
,U,AJP,1,0,1,8047,0.10%,,,,
,,,,,,,,,,,
,U,DDP,2,0,2,10282,0.12%,,,,
,,,,,,,,,,,
,U,IPF,1,0,1,24966,0.30%,,,,
,,,,,,,,,,,
,U,SLP,2,0,2,125738,1.49%,,,,
,,,,,,,,,,,
,U,URC,9,0,9,170376,2.01%,,,,
,,,,,,,,,,,
,Z,IND,72,1,71,1204692,14.24%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",167,14,135,8457986,,,,,
,,,,,,,,,,,
BIHAR 5,4,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,51,5,27,4721008,15.95%,,,,
,,,,,,,,,,,
,N,CPI,8,8,0,2236019,7.55%,,,,
,,,,,,,,,,,
,N,CPM,1,1,0,418010,1.41%,,,,
,,,,,,,,,,,
,N,ICS(SCS),7,0,7,10663,0.04%,,,,
,,,,,,,,,,,
,N,INC,51,1,18,7007304,23.67%,,,,
,,,,,,,,,,,
,N,JD,36,31,1,10106137,34.14%,,,,
,,,,,,,,,,,
,N,JP,48,0,41,1747975,5.90%,,,,
,,,,,,,,,,,
,N,LKD,17,0,17,34981,0.12%,,,,
,,,,,,,,,,,
,S,BSP,24,0,24,41466,0.14%,,,,
,,,,,,,,,,,
,S,FBL,4,0,4,2513,0.01%,,,,
,,,,,,,,,,,
,S,JMM,8,6,2,1335613,4.51%,,,,
,,,,,,,,,,,
,U,ABSP,1,0,1,166,0.00%,,,,
,,,,,,,,,,,
,U,AMB,2,0,2,1657,0.01%,,,,
,,,,,,,,,,,
,U,AZP,1,0,1,305,0.00%,,,,
,,,,,,,,,,,
,U,BKUS,15,0,15,8348,0.03%,,,,
,,,,,,,,,,,
,U,DBM,3,0,3,1792,0.01%,,,,
,,,,,,,,,,,
,U,DDP,41,0,41,21828,0.07%,,,,
,,,,,,,,,,,
,U,DMM,1,0,1,1843,0.01%,,,,
,,,,,,,,,,,
,U,HMS,1,0,1,741,0.00%,,,,
,,,,,,,,,,,
,U,IPF,17,0,16,585881,1.98%,,,,
,,,,,,,,,,,
,U,JF,1,0,1,5521,0.02%,,,,
,,,,,,,,,,,
,U,JKP,10,0,9,103357,0.35%,,,,
,,,,,,,,,,,
,U,JMS,1,0,1,138,0.00%,,,,
"ELECTIONS - INDIA, 1991",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
BIHAR,54,,,,,,,,,,
,,,,,,,,,,,
,U,JNP,3,0,3,4695,0.02%,,,,
,,,,,,,,,,,
,U,LAJM,1,0,1,257,0.00%,,,,
,,,,,,,,,,,
,U,M-COR,1,0,0,171767,0.58%,,,,
,,,,,,,,,,,
,U,MSD,1,0,1,742,0.00%,,,,
,,,,,,,,,,,
,U,PBI,4,0,4,3468,0.01%,,,,
,,,,,,,,,,,
,U,RRP(S),1,0,1,423,0.00%,,,,
,,,,,,,,,,,
,U,SKD,7,0,7,29647,0.10%,,,,
,,,,,,,,,,,
,U,SOP(L),6,0,6,4233,0.01%,,,,
,,,,,,,,,,,
,U,SSD,6,0,6,6980,0.02%,,,,
,,,,,,,,,,,
,Z,IND,835,0,834,986376,3.33%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",1214,52,1096,29601854,,,,,
,,,,,,,,,,,
GOA,2,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,2,0,1,49129,15.61%,,,,
,,,,,,,,,,,
,N,CPI,2,0,2,4658,1.48%,,,,
,,,,,,,,,,,
,N,INC,2,2,0,181434,57.66%,,,,
,,,,,,,,,,,
,N,JD,1,0,1,3285,1.04%,,,,
,,,,,,,,,,,
,N,LKD,2,0,2,576,0.18%,,,,
,,,,,,,,,,,
,S,BSP,2,0,2,1931,0.61%,,,,
,,,,,,,,,,,
,S,MAG,2,0,0,64752,20.58%,,,,
,,,,,,,,,,,
,U,DDP,1,0,1,172,0.05%,,,,
,,,,,,,,,,,
,U,GLP,2,0,2,1983,0.63%,,,,
,,,,,,,,,,,
,Z,IND,17,0,17,6746,2.14%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",33,2,28,314666,,,,,
,,,,,,,,,,,
GUJARAT,26,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,26,20,0,5394221,50.37%,,,,
,,,,,,,,,,,
,N,ICS(SCS),1,0,1,1667,0.02%,,,,
,,,,,,,,,,,
,N,INC,16,5,0,3104937,28.99%,,,,
,,,,,,,,,,,
,N,JD,24,0,24,366118,3.42%,,,,
,,,,,,,,,,,
,N,JP,19,0,19,60644,0.57%,,,,
,,,,,,,,,,,
,S,BSP,1,0,1,1898,0.02%,,,,
,,,,,,,,,,,
,S,FBL,1,0,1,289,0.00%,,,,
,,,,,,,,,,,
,S,RPI,5,0,5,4567,0.04%,,,,
,,,,,,,,,,,
,U,AHF,3,0,3,1657,0.02%,,,,
,,,,,,,,,,,
,U,BJS,3,0,3,2228,0.02%,,,,
,,,,,,,,,,,
,U,DDP,26,0,26,21793,0.20%,,,,
,,,,,,,,,,,
,U,DMM,3,0,3,831,0.01%,,,,
,,,,,,,,,,,
,U,HSH,1,0,1,325,0.00%,,,,
,,,,,,,,,,,
,U,JD(G),10,1,0,1399702,13.07%,,,,
,,,,,,,,,,,
,U,JNP,1,0,1,1167,0.01%,,,,
,,,,,,,,,,,
,U,MSD,3,0,3,2401,0.02%,,,,
,,,,,,,,,,,
,U,PBI,3,0,3,1530,0.01%,,,,
"ELECTIONS - INDIA, 1",991,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
GUJARAT,,26,,,,,,,,,
,,,,,,,,,,,
,,U,RPK,,,,1,0,1,2576,0.02%
,,,,,,,,,,,
,,U,SCP,,,,1,0,1,250,0.00%
,,,,,,,,,,,
,,U,SLI,,,,2,0,2,2852,0.03%
,,,,,,,,,,,
,,U,SMP,,,,1,0,1,694,0.01%
,,,,,,,,,,,
,,U,YVP,,,,11,0,11,28159,0.26%
,,,,,,,,,,,
,,Z,IND,,,,258,0,257,308371,2.88%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,420,26,367,10708877,
,,,,,,,,,,,
HARYANA,,10,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,10,0,9,631146,10.17%
,,,,,,,,,,,
