State Name,Winning party,vote %
Andhra Pradesh41,N,46.82
Assam14,N,34.81
Bihar53,N,50.52
Bihar53,N,40.78
Gujarat24,N,48.51
Haryana9,S,12.71
ammu And Kashmir6,N,33.33
Pradesh37,N,39.95
Madras39,N,33.44
rashtra45,N,52.57
Maharashtra4,Z,29.44
Mysore2,N,50.14
Orissa2,N,48.35
Punjab1,N,4.44
Punjab13,N,58.25
Rajasthan23,0,0.0
Uttar Pradesh85,0,0.0
West Bengal40,0,0.0
West Bengal40,0,0.0
Kerala19,0,0.0
And Nicobar Islands1,0,0.0
Chandigarh1,0,0.0
a And Nagar Haveli1,0,0.0
Delhi7,0,0.0
"Goa, Daman And Diu2",0,0.0
Himachal Pradesh6,0,0.0
6,0,0.0
NSWA10,0,0.0
Amindivi Islands,0,0.0
Manipur2,0,0.0
Pondicherry1,0,0.0
Tripura2,0,0.0
